Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
0.000375,0.019361285,0.99999625,quadratic,1.00E-08,,,3.43E-05,0.001772972,9.999845886,0.101626414,0,-3.75E-06,-0.01,0.000314461,0.016299518,3.75E-06,0.000193613,1,0,0.003202398,0.166094452,0.000314461,0.016299518,100.9975088,2.041547441,100,0.000314459,1.000591088
0.000375,0.019361285,0.99999625,quadratic,1.19E-08,,,3.43E-05,0.001772972,9.999845886,0.101626414,0,-3.75E-06,-0.01,0.000314461,0.016299518,3.75E-06,0.000193613,1,0,0.003202398,0.166094452,0.000314461,0.016299518,100.9975088,2.041547441,100,0.000314459,1.000591088
0.000375,0.019361285,0.99999625,quadratic,1.42E-08,,,3.43E-05,0.001772972,9.999845886,0.101626414,0,-3.75E-06,-0.01,0.000314461,0.016299518,3.75E-06,0.000193613,1,0,0.003202398,0.166094452,0.000314461,0.016299518,100.9975088,2.041547441,100,0.000314459,1.000591088
0.000375,0.019361285,0.99999625,quadratic,1.69E-08,,,3.43E-05,0.001772972,9.999845886,0.101626414,0,-3.75E-06,-0.01,0.000314461,0.016299518,3.75E-06,0.000193613,1,0,0.003202398,0.166094452,0.000314461,0.016299518,100.9975088,2.041547441,100,0.000314459,1.000591088
0.000375,0.019361285,0.99999625,quadratic,2.01E-08,,,3.43E-05,0.001772972,9.999845886,0.101626414,0,-3.75E-06,-0.01,0.000314461,0.016299518,3.75E-06,0.000193613,1,0,0.003202398,0.166094452,0.000314461,0.016299518,100.9975088,2.041547441,100,0.000314459,1.000591088
0.000375,0.019361285,0.99999625,quadratic,2.39E-08,,,3.43E-05,0.001772972,9.999845886,0.101626414,0,-3.75E-06,-0.01,0.000314461,0.016299518,3.75E-06,0.000193613,1,0,0.003202398,0.166094452,0.000314461,0.016299518,100.9975088,2.041547441,100,0.000314459,1.000591088
0.000375,0.019361285,0.99999625,quadratic,2.85E-08,,,3.43E-05,0.001772972,9.999845886,0.101626414,0,-3.75E-06,-0.01,0.000314461,0.016299518,3.75E-06,0.000193613,1,0,0.003202398,0.166094452,0.000314461,0.016299518,100.9975088,2.041547441,100,0.000314459,1.000591088
0.0005,0.022355089,0.999995,quadratic,3.39E-08,,,4.39E-05,0.001968129,9.999836327,0.101630489,0,-5.00E-06,-0.01,0.000387546,0.017560024,5.00E-06,0.000223551,1,0,0.004016822,0.181349874,0.000387546,0.017560024,100.9974194,2.041561226,100,0.000387544,1.000692873
0.0005,0.022355089,0.999995,quadratic,4.04E-08,,,4.39E-05,0.001968129,9.999836327,0.101630489,0,-5.00E-06,-0.01,0.000387546,0.017560024,5.00E-06,0.000223551,1,0,0.004016822,0.181349874,0.000387546,0.017560024,100.9974194,2.041561226,100,0.000387544,1.000692873
0.000625,0.024992186,0.99999375,quadratic,4.81E-08,,,5.52E-05,0.002215071,9.999824958,0.101633706,0,-6.25E-06,-0.01,0.000490959,0.019844859,6.25E-06,0.000249922,1,0,0.004876418,0.196955271,0.000490959,0.019844859,100.9972988,2.041575896,100,0.000490956,1.000799655
0.00075,0.027375856,0.9999925,quadratic,5.72E-08,,,6.50E-05,0.002380091,9.999815215,0.101649876,0,-7.50E-06,-0.01,0.000566906,0.020973344,7.50E-06,0.000273759,1,0,0.005824716,0.214418703,0.000566906,0.020973344,100.9972039,2.041715644,100,0.000566902,1.000899606
0.000875,0.029567455,0.99999125,quadratic,6.81E-08,,,7.53E-05,0.002551678,9.999804921,0.101676747,0,-8.75E-06,-0.01,0.000651673,0.022299357,8.75E-06,0.000295675,1,0,0.006870899,0.233918996,0.000651673,0.022299358,100.9970982,2.041969122,100,0.000651667,1.000999784
0.000875,0.029567455,0.99999125,quadratic,8.11E-08,,,7.53E-05,0.002551678,9.999804921,0.101676747,0,-8.75E-06,-0.01,0.000651673,0.022299357,8.75E-06,0.000295675,1,0,0.006870899,0.233918996,0.000651673,0.022299358,100.9970982,2.041969122,100,0.000651667,1.000999784
0.001,0.031606961,0.99999,quadratic,9.66E-08,,,8.57E-05,0.002717717,9.999794453,0.101679649,0,-1.00E-05,-0.01,0.000739333,0.02363503,1.00E-05,0.00031607,1,0,0.007925906,0.252203895,0.000739333,0.02363503,100.9969895,2.041984531,100,0.000739326,1.001100376
0.00125,0.035333235,0.9999875,quadratic,1.15E-07,,,0.000107461,0.003044601,9.99977273,0.101697075,0,-1.25E-05,-0.01,0.000928114,0.026475431,1.25E-05,0.000353332,1,0,0.010103285,0.287578026,0.000928114,0.026475431,100.9967572,2.042135495,100,0.000928103,1.001302491
0.0015,0.038700775,0.999985,quadratic,1.37E-07,,,0.000130526,0.003375354,9.999749665,0.101687619,0,-1.50E-05,-0.01,0.001141005,0.029700208,1.50E-05,0.000387008,1,0,0.012271092,0.318517119,0.001141005,0.029700208,100.9965009,2.041984282,100,0.001140988,1.001507537
0.001625,0.040278523,0.99998375,quadratic,1.63E-07,,,0.000141871,0.003524157,9.99973832,0.101710181,0,-1.63E-05,-0.01,0.001243981,0.031091615,1.63E-05,0.000402785,1,0,0.013381053,0.333587751,0.001243981,0.031091616,100.9963757,2.042214966,100,0.001243961,1.001609266
0.001875,0.043260656,0.99998125,quadratic,1.94E-07,,,0.000164369,0.003801135,9.999715822,0.101726083,0,-1.88E-05,-0.01,0.001447564,0.033697838,1.88E-05,0.000432607,1,0,0.015397663,0.357255838,0.001447564,0.033697838,100.9961318,2.042287599,100,0.001447537,1.0018153
0.002125,0.046048717,0.99997875,quadratic,2.31E-07,,,0.000188249,0.004089344,9.999691942,0.101748104,0,-2.13E-05,-0.01,0.001675817,0.036658384,2.13E-05,0.000460487,1,0,0.017834328,0.388976049,0.001675817,0.036658384,100.9958548,2.04250562,100,0.001675782,1.002015884
0.002625,0.051167464,0.99997375,quadratic,2.75E-07,,,0.000232229,0.004536158,9.999647962,0.101759699,0,-2.63E-05,-0.01,0.002063066,0.040540529,2.63E-05,0.000511675,1,0,0.022049676,0.432610843,0.002063066,0.040540529,100.9953833,2.042528129,100,0.002063012,1.002423915
0.002875,0.053541894,0.99997125,quadratic,3.27E-07,,,0.000255717,0.004772022,9.999624474,0.101780518,0,-2.88E-05,-0.01,0.002283758,0.042865708,2.88E-05,0.000535419,1,0,0.024395959,0.457242449,0.002283758,0.042865708,100.9951157,2.04270887,100,0.002283693,1.002626037
