Survive,Survive_bar,chi,dynamics,epsilon,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
13.15,2.0316249653910043,NaN,linear,1e-06,11.694012294595655,0.28782631870068903,0.08504184015507553,0.0017192982889916023,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.4854677909067,9.41187479891107,1359.9771554421218,71.11070494225264,0.0073273473725291634,0.0002861062796668158,100,1223.2272318959674,9.523279556774669e-05
13.6,1.2806248474865698,NaN,linear,1.232846739442066e-06,11.790544024632858,0.26987845949264977,0.08445268463462757,0.0014488535492575552,0.0,NaN,NaN,,,0.136,0.012806248474865698,1.0,0.0,990.465330417515,8.474368756990858,1375.2640667201265,76.70070107028245,0.007237696850660132,0.0002423436690225338,100,1236.247138323321,0.00010544090866427164
13.15,2.0316249653910043,NaN,linear,1.519911082952933e-06,11.694012291343606,0.28782630793956615,0.0850418403606852,0.0017192981029071003,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.4854677490264,9.411874824368432,1359.97757741226,71.11013379690185,0.007327347396329455,0.0002861062423545191,100,1223.2276539421646,9.52327843971894e-05
13.6,1.2806248474865698,NaN,linear,1.873817422860383e-06,11.790544015779508,0.26987848190574054,0.08445268536963396,0.0014488541616483593,0.0,NaN,NaN,,,0.136,0.012806248474865698,1.0,0.0,990.4653303300672,8.474368857366018,1375.263955257868,76.70105266431968,0.00723769698467359,0.00024234377254637969,100,1236.247027069834,0.00010544091853120466
13.15,2.0316249653910043,NaN,linear,2.310129700083158e-06,11.69401228758689,0.2878262986476931,0.0850418406675754,0.0017192978167078006,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.4854677549092,9.411874752819932,1359.9782190342482,71.10926568010646,0.007327347431703921,0.000286106185106381,100,1223.228295652015,9.523276757463914e-05
13.6,1.2806248474865698,NaN,linear,2.848035868435805e-06,11.790544005081662,0.2698785104538213,0.08445268632976587,0.0014488550796602079,0.0,NaN,NaN,,,0.136,0.012806248474865698,1.0,0.0,990.4653304228814,8.474369085804783,1375.263789556013,76.70158991209502,0.007237697160304396,0.00024234393733006112,100,1236.246861620246,0.00010544093199057291
13.15,2.0316249653910043,NaN,linear,3.5111917342151275e-06,11.694012282091013,0.2878262807485392,0.08504184112695899,0.0017192973793240132,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.4854677926845,9.411874957374515,1359.9791918397407,71.10794419826031,0.007327347484312666,0.0002861060976010146,100,1223.2292685860452,9.523274204973184e-05
13.6,1.2806248474865698,NaN,linear,4.328761281083061e-06,11.79054398672235,0.26987855293144014,0.08445268739876081,0.0014488568340655236,0.0,NaN,NaN,,,0.136,0.012806248474865698,1.0,0.0,990.4653304214305,8.47436926593177,1375.2635341608225,76.70240511550232,0.007237697371518345,0.00024234423664261018,100,1236.246606657988,0.00010544096264553096
13.15,2.0316249653910043,NaN,linear,5.336699231206313e-06,11.6940122727437,0.28782625333487166,0.08504184184610727,0.0017192967147097624,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.4854677585688,9.41187469459293,1359.9806744543196,71.10593734790604,0.00732734756736481,0.0002861059647430407,100,1223.2307514192394,9.523270278648802e-05
13.6,1.2806248474865698,NaN,linear,6.579332246575683e-06,11.79054395255003,0.26987861828174686,0.08445268923334265,0.0014488592175292713,0.0,NaN,NaN,,,0.136,0.012806248474865698,1.0,0.0,990.4653299266562,8.47436912317172,1375.263144211011,76.70364458852771,0.007237697721640421,0.00024234465104909487,100,1236.246217513997,0.00010544100289687248
13.15,2.0316249653910043,NaN,linear,8.111308307896873e-06,11.694012256897325,0.28782621021285043,0.08504184291990473,0.0017192957043417893,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.4854676028015,9.411874289118135,1359.982925194297,71.10288472378599,0.007327347690744221,0.00028610576256324675,100,1223.233002529832,9.523264353047122e-05
13.6,1.2806248474865698,NaN,linear,1e-05,11.790543904966912,0.26987871456328694,0.08445269207820286,0.0014488629872301474,0.0,NaN,NaN,,,0.136,0.012806248474865698,1.0,0.0,990.4653295068598,8.474369451787545,1375.262555224044,76.70552769090087,0.007237698263873169,0.00024234530546023082,100,1236.2456296490916,0.0001054410646174209
13.15,2.0316249653910043,NaN,linear,1.2328467394420658e-05,11.694012232715297,0.2878261540647973,0.08504184456371339,0.001719294172911606,0.0,NaN,NaN,,,0.1315,0.020316249653910046,1.0,0.0,990.4854673183705,9.411874761071159,1359.9863426032186,71.09824915131335,0.00732734788021007,0.0002861054560891356,100,1223.2364205043236,9.523255341128168e-05
