Survive,Survive_bar,chi,dynamics,epsilon,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
57.6,3.9547439866570375,NaN,linear,1e-06,10.433901712422918,0.21655581799735288,0.3786703236160706,0.004388796307171295,0.0,NaN,NaN,,,0.5760000000000002,0.039547439866570375,1.0,0.0,961.3191463380001,10.02065570275901,256.02183786904266,20.28152402224226,0.147948509107068,0.0033256989456204884,100,147.15553292454075,0.004557295119568332
59.0,2.6076809620810595,NaN,linear,1.232846739442066e-06,10.386677183323979,0.14518811047784325,0.3804706734946172,0.003232863514773284,0.0,NaN,NaN,,,0.5900000000000001,0.026076809620810583,1.0,0.0,961.0915334712212,12.055334300720638,252.77626195389163,12.125497361032016,0.14970903779395434,0.002702893126997303,100,144.8931990433087,0.004951104404506713
57.65,4.028337125911881,NaN,linear,1.519911082952933e-06,10.433901689435073,0.21655579681050804,0.3786703261139482,0.004388790317908187,0.0,NaN,NaN,,,0.5765000000000001,0.040283371259118815,1.0,0.0,961.3191458901314,10.020655170054408,256.0218641008399,20.281465984311307,0.14794851105782011,0.0033256956601777883,100,147.1555596360438,0.004557295178576245
59.0,2.6076809620810595,NaN,linear,1.873817422860383e-06,10.38667719706247,0.14518809108654376,0.3804706756315884,0.0032328633200105423,0.0,NaN,NaN,,,0.5900000000000001,0.026076809620810583,1.0,0.0,961.0915333632656,12.055334693465937,252.7762419525861,12.125458714993796,0.1497090401494356,0.0027028952904825454,100,144.89317875660862,0.004951105133878243
57.65,4.028337125911881,NaN,linear,2.310129700083158e-06,10.433901655390335,0.2165557613056971,0.3786703306085096,0.004388782384050269,0.0,NaN,NaN,,,0.5765000000000001,0.040283371259118815,1.0,0.0,961.3191452823046,10.020654582343443,256.02190414161464,20.281377804961625,0.14794851454983896,0.003325691464033118,100,147.15560038725746,0.004557295266681003
59.0,2.6076809620810595,NaN,linear,2.848035868435805e-06,10.386677215239008,0.14518805665522416,0.3804706786086568,0.0032328632286931693,0.0,NaN,NaN,,,0.5900000000000001,0.026076809620810583,1.0,0.0,961.0915328910772,12.055334871608796,252.77621291502396,12.125400036156222,0.14970904353417042,0.002702898726800979,100,144.8931493414588,0.004951106253238605
57.6,3.9547439866570375,NaN,linear,3.5111917342151275e-06,10.433901608415548,0.216555704092769,0.37867033687721346,0.0043887695586612855,0.0,NaN,NaN,,,0.5760000000000002,0.039547439866570375,1.0,0.0,961.3191447635996,10.020653390553948,256.02196610131836,20.2812432730137,0.14794851943752807,0.0033256845732039498,100,147.15566332722182,0.004557295406825724
59.0,2.6076809620810595,NaN,linear,4.328761281083061e-06,10.386677242168226,0.14518800225523343,0.3804706832301031,0.003232863121604927,0.0,NaN,NaN,,,0.5900000000000001,0.026076809620810583,1.0,0.0,961.0915322081953,12.055335027618248,252.77616685792646,12.12530980547404,0.14970904871485077,0.0027029039700758946,100,144.89310272495112,0.004951107917269317
57.65,4.028337125911881,NaN,linear,5.336699231206313e-06,10.43390153428644,0.21655561716380423,0.37867034638000097,0.004388750055227792,0.0,NaN,NaN,,,0.5765000000000001,0.040283371259118815,1.0,0.0,961.3191437833566,10.020651576854446,256.0220589282867,20.28103962863903,0.14794852684562343,0.003325674095772443,100,147.15575770110178,0.004557295618073525
59.0,2.6076809620810595,NaN,linear,6.579332246575683e-06,10.38667728892103,0.1451879210804731,0.38047069018252117,0.003232862817871826,0.0,NaN,NaN,,,0.5900000000000001,0.026076809620810583,1.0,0.0,961.0915316171307,12.055335422978182,252.77609799520314,12.12517324035298,0.14970905656147027,0.002702911842920919,100,144.89303289101522,0.0049511104735062705
57.65,4.028337125911881,NaN,linear,8.111308307896873e-06,10.43390142345555,0.21655548460812496,0.37867036080332833,0.004388720409501531,0.0,NaN,NaN,,,0.5765000000000001,0.040283371259118815,1.0,0.0,961.3191424253871,10.02064885958907,256.0222003349926,20.280729029819003,0.14794853809452052,0.0033256581595326917,100,147.1559014206048,0.004557295943597662
59.0,2.6076809620810595,NaN,linear,1e-05,10.386677360997272,0.1451877972040363,0.38047070079057427,0.003232862571484578,0.0,NaN,NaN,,,0.5900000000000001,0.026076809620810583,1.0,0.0,961.0915308582523,12.055335928924489,252.7759931568952,12.124964226782126,0.14970906850435484,0.0027029240086116524,100,144.89292655544193,0.0049511143442841484
57.6,3.9547439866570375,NaN,linear,1.2328467394420658e-05,10.433901249048859,0.21655528858888656,0.37867038274900117,0.004388675354235509,0.0,NaN,NaN,,,0.5760000000000002,0.039547439866570375,1.0,0.0,961.3191398676814,10.020645206275464,256.0224147629187,20.280257662414574,0.1479485552063504,0.0033256339450099238,100,147.15611948801535,0.004557296435075358
59.0,2.6076809620810595,NaN,linear,1.5199110829529332e-05,10.386677463387525,0.1451876157127745,0.38047071687560813,0.0032328620063520656,0.0,NaN,NaN,,,0.5900000000000001,0.026076809620810583,1.0,0.0,961.091529069007,12.05533718965365,252.77583469995926,12.124647751086997,0.14970908662982502,0.0027029422964736593,100,144.89276597151695,0.004951120229985875
