Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,sample_size,size,var_N,var_R
38.231,14.75485137,NaN,crossfeeding,1.00E-06,2.44E-13,-1.01E-13,3.03E-13,11.74236623,0.273964481,0.128172273,0.002784851,1,NaN,NaN,,,0.38231,0.147548514,1,0,987.1825017,0.278482116,1392.460391,68.29604149,0.016869556,0.000718444,1000,100,1254.577227,0.000441424
38.225,14.75135163,NaN,crossfeeding,1.42E-06,4.92E-13,-1.01E-13,6.81E-13,11.74236623,0.273964481,0.128172273,0.002784851,1,NaN,NaN,,,0.38225,0.147513516,1,0,987.1825018,0.278482086,1392.460401,68.29601408,0.016869556,0.000718444,1000,100,1254.577237,0.000441424
39.319,15.11877108,NaN,crossfeeding,2.02E-06,9.63E-13,-1.03E-13,1.39E-12,11.7511404,0.269032412,0.128068695,0.002718699,1,NaN,NaN,,,0.39319,0.151187711,1,0,987.192858,0.271866803,1394.377087,67.29745989,0.016841661,0.000698332,1000,100,1256.287787,0.000440071
39.319,15.11877108,NaN,crossfeeding,2.87E-06,1.94E-12,-1.02E-13,2.87E-12,11.7511404,0.269032414,0.128068695,0.002718699,1,NaN,NaN,,,0.39319,0.151187711,1,0,987.192858,0.271866806,1394.377086,67.2974607,0.016841661,0.000698332,1000,100,1256.287785,0.000440071
39.35,14.8903828,NaN,crossfeeding,4.08E-06,3.88E-12,-1.02E-13,2.85E-12,11.74984194,0.262659078,0.128068516,0.002665678,1,NaN,NaN,,,0.3935,0.148903828,1,0,987.1928776,0.266565851,1393.798605,65.5731741,0.016840127,0.000685882,1000,100,1255.739819,0.000438583
39.184,15.10556666,NaN,crossfeeding,5.79E-06,0.009999986,0.988415678,0.988415127,11.74069831,0.273645967,0.128176536,0.002788562,1,NaN,NaN,,,0.39184,0.151055667,1,0,987.1820737,0.278851519,1391.778499,68.01396015,0.016869828,0.000718845,1000,100,1253.934502,0.000440603
38.653,14.71565802,NaN,crossfeeding,8.23E-06,0.009999981,1.084500049,1.084499676,11.7538373,0.277224744,0.128027751,0.00283314,1,NaN,NaN,,,0.38653,0.14715658,1,0,987.1969541,0.283308182,1394.671646,68.76827058,0.016830058,0.000731928,1000,100,1256.518954,0.000438952
39.173,14.95704085,NaN,crossfeeding,1.17E-05,0.009999974,1.084500167,1.084499637,11.72962641,0.274885153,0.128295184,0.002804464,1,NaN,NaN,,,0.39173,0.149570409,1,0,987.170208,0.280445232,1389.12705,68.32053723,0.016901199,0.000723613,1000,100,1251.542914,0.000441545
39.054,14.58262953,NaN,crossfeeding,1.66E-05,6.52E-11,-1.02E-13,7.73E-11,11.7465169,0.281940263,0.128128868,0.002853854,1,NaN,NaN,,,0.39054,0.145826295,1,0,987.1868417,0.285385023,1393.450336,70.9867016,0.016859055,0.000734596,1000,100,1255.469676,0.000442048
38.506,14.59547752,NaN,crossfeeding,2.36E-05,1.34E-10,-1.00E-13,1.57E-10,11.73679751,0.264912303,0.128204368,0.002704407,1,NaN,NaN,,,0.38506,0.145954775,1,0,987.1792918,0.270435982,1390.697655,65.73109891,0.016875286,0.000697837,1000,100,1252.945239,0.000438926
39.185,14.69546784,NaN,crossfeeding,3.35E-05,0.009999914,1.062078528,1.062082599,11.72500006,0.280887246,0.128331812,0.002875147,1,NaN,NaN,,,0.39185,0.146954678,1,0,987.1665461,0.287508387,1387.859838,69.68343824,0.016909283,0.000743798,1000,100,1250.384212,0.000440229
38.818,14.89674045,NaN,crossfeeding,4.76E-05,0.009999912,1.065526372,1.065533173,11.73618765,0.274392958,0.128226834,0.002786433,1,NaN,NaN,,,0.38818,0.148967404,1,0,987.1770486,0.278638067,1390.82446,68.39349182,0.016882396,0.000717584,1000,100,1253.08636,0.000440275
38.918,14.9393198,NaN,crossfeeding,6.77E-05,1.09E-09,-8.66E-14,1.09E-09,11.74254706,0.278098786,0.128167612,0.002825649,1,NaN,NaN,,,0.38918,0.149393198,1,0,987.182966,0.282559589,1392.381402,69.14734413,0.016868407,0.000727447,1000,100,1254.493991,0.00044147
38.391,14.7494447,NaN,crossfeeding,9.62E-05,2.24E-09,-7.07E-14,2.65E-09,11.7409091,0.277587065,0.128172979,0.002822659,1,NaN,NaN,,,0.38391,0.147494447,1,0,987.1824307,0.282261824,1391.79658,69.29688968,0.016868378,0.00072773,1000,100,1253.947633,0.000440066
39.395,14.64687595,NaN,crossfeeding,0.000136645,0.009999652,1.062100408,1.062116997,11.74603232,0.285834521,0.12811992,0.002887965,1,NaN,NaN,,,0.39395,0.146468759,1,0,987.1877322,0.288789832,1393.109582,71.47252283,0.016854503,0.000742244,1000,100,1255.140306,0.000439789
39.828,15.38832077,NaN,crossfeeding,0.000194149,8.77E-09,-2.60E-14,-1.44E-14,11.73216515,0.277678225,0.128247407,0.002832614,1,NaN,NaN,,,0.39828,0.153883208,1,0,987.174982,0.28325502,1389.449146,68.94981844,0.016885906,0.000730736,1000,100,1251.805447,0.000438508
39.452,14.58107321,NaN,crossfeeding,0.000275853,1.75E-08,3.30E-15,6.15E-09,11.74465864,0.271026207,0.128137865,0.002756098,1,NaN,NaN,,,0.39452,0.145810732,1,0,987.1859437,0.275604035,1392.810777,67.56478115,0.01685985,0.000710582,1000,100,1254.87377,0.000440537
39.01,14.58622295,NaN,crossfeeding,0.000391941,3.62E-08,5.51E-14,7.14E-14,11.73777013,0.276961125,0.128183385,0.002835269,1,NaN,NaN,,,0.3901,0.14586223,1,0,987.1813865,0.283521033,1390.671338,68.49781195,0.016868912,0.000730845,1000,100,1252.89609,0.000437932
38.555,14.83701368,NaN,crossfeeding,0.000556881,7.45E-08,1.38E-13,1.30E-08,11.74142175,0.274633937,0.128174836,0.002791779,1,NaN,NaN,,,0.38555,0.148370137,1,0,987.1822443,0.279173773,1392.048029,68.24821646,0.016869661,0.000718411,1000,100,1254.187044,0.000440873
39.213,14.9250672,NaN,crossfeeding,0.000791234,1.48E-07,2.86E-13,3.71E-08,11.7266264,0.282285066,0.128312976,0.002867355,1,NaN,NaN,,,0.39213,0.149250672,1,0,987.1684313,0.286732089,1388.267801,70.27121574,0.016903163,0.000738109,1000,100,1250.754034,0.000438943
39.879,14.88073785,NaN,crossfeeding,0.00112421,2.89E-07,5.61E-13,3.18E-08,11.73508832,0.272316097,0.128227697,0.002738677,1,NaN,NaN,,,0.39879,0.148807379,1,0,987.1769583,0.273864059,1390.407948,69.29139648,0.016881586,0.000704649,1000,100,1252.69565,0.000439243
39.893,15.17957677,NaN,crossfeeding,0.001597312,5.84E-07,1.15E-12,1.21E-12,11.74400112,0.278609072,0.128156513,0.002811753,1,NaN,NaN,,,0.39893,0.151795768,1,0,987.1840747,0.281170364,1392.968058,69.86599409,0.016864767,0.000722938,1000,100,1255.046496,0.000440675
39.053,14.91074079,NaN,crossfeeding,0.002269511,1.22E-06,2.38E-12,1.41E-08,11.72799276,0.271888373,0.128283566,0.002784213,1,NaN,NaN,,,0.39053,0.149107408,1,0,987.1713733,0.278414513,1388.267067,67.33889344,0.016894796,0.000720394,1000,100,1250.721253,0.000438123
38.858,14.81282674,NaN,crossfeeding,0.003224591,2.49E-06,5.07E-12,8.15E-08,11.74771098,0.28305776,0.128098504,0.0029018,1,NaN,NaN,,,0.38858,0.148128267,1,0,987.189875,0.29017688,1393.297022,69.92988857,0.016850367,0.000750281,1000,100,1255.288309,0.00044114
39.089,14.72178926,NaN,crossfeeding,0.004581598,4.89E-06,9.59E-12,3.62E-08,11.73598128,0.281170514,0.128235996,0.002852296,1,NaN,NaN,,,0.39089,0.147217893,1,0,987.1761229,0.285225813,1390.815202,71.50955611,0.016886702,0.000736474,1000,100,1253.081945,0.000442231
39.224,14.35506266,NaN,crossfeeding,0.006509675,9.80E-06,1.93E-11,1.28E-08,11.72278092,0.279502951,0.12836274,0.002849186,1,NaN,NaN,,,0.39224,0.143550627,1,0,987.1634516,0.284912299,1387.405399,69.50750609,0.01691796,0.000735369,1000,100,1249.981806,0.000440967
38.692,14.90560754,NaN,crossfeeding,0.009249147,2.06E-05,4.03E-11,4.31E-11,11.72585676,0.270946698,0.128327921,0.002770833,1,NaN,NaN,,,0.38692,0.149056075,1,0,987.1669365,0.277079134,1388.091536,67.38406673,0.016909348,0.000716846,1000,100,1250.59582,0.000441293
40.192,14.84422905,NaN,crossfeeding,0.013141474,3.88E-05,7.69E-11,3.27E-08,11.72958214,0.274482175,0.128270001,0.002806076,1,NaN,NaN,,,0.40192,0.14844229,1,0,987.1727251,0.280603051,1388.901571,68.01025034,0.016890743,0.000723524,1000,100,1251.318474,0.00043755
38.772,15.07733451,NaN,crossfeeding,0.018671811,8.42E-05,1.70E-10,1.22E-08,11.72519299,0.268899068,0.128313556,0.002782989,1,NaN,NaN,,,0.38772,0.150773345,1,0,987.1683717,0.278295705,1387.645631,66.17691531,0.016901283,0.000722158,1000,100,1250.165481,0.000436915
39.09,14.93405169,NaN,crossfeeding,0.026529485,0.000165367,3.26E-10,2.64E-08,11.74419847,0.275373024,0.128113317,0.002797085,1,NaN,NaN,,,0.3909,0.149340517,1,0,987.1883934,0.279703767,1392.228,68.57243582,0.016850983,0.000719478,1000,100,1254.301803,0.000437961
39.848,15.09088785,NaN,crossfeeding,0.03769391,0.000324125,6.50E-10,8.54E-08,11.75944149,0.291352777,0.127983487,0.002960148,1,NaN,NaN,,,0.39848,0.150908878,1,0,987.2013744,0.296011061,1396.19794,72.36252896,0.016820709,0.00076229,1000,100,1257.913476,0.000440937
40.093,14.52963699,NaN,crossfeeding,0.053556669,0.00064077,1.26E-09,1.62E-09,11.73252006,0.28434528,0.128248034,0.002890398,1,NaN,NaN,,,0.40093,0.14529637,1,0,987.1749181,0.289033647,1388.671088,71.22388169,0.016890271,0.00074448,1000,100,1251.019061,0.000442712
40.029,15.26932084,NaN,crossfeeding,0.076094967,0.001321602,2.59E-09,1.26E-08,11.73421222,0.277429439,0.128210903,0.002803851,1,NaN,NaN,,,0.40029,0.152693208,1,0,987.1786272,0.280381578,1388.558229,70.23291828,0.01688483,0.000722366,1000,100,1250.866493,0.000446795
39.484,15.32069659,NaN,crossfeeding,0.108118075,0.002728834,5.38E-09,3.25E-08,11.73060128,0.285925666,0.128228308,0.002883118,1,NaN,NaN,,,0.39484,0.153206966,1,0,987.1768776,0.288307011,1385.263407,73.32774682,0.016897515,0.000742303,1000,100,1247.656401,0.000455016
39.143,15.31772016,NaN,crossfeeding,0.153617495,0.005588287,1.09E-08,1.15E-08,11.71976217,0.279995503,0.128265967,0.002844679,1,NaN,NaN,,,0.39143,0.153177202,1,0,987.1731033,0.284465559,1377.307887,75.00787397,0.016921781,0.000736744,1000,100,1239.955062,0.000469623
40.182,14.93220935,NaN,crossfeeding,0.218264473,0.010641743,2.10E-08,3.49E-08,11.70136309,0.283266637,0.128319078,0.002866851,1,NaN,NaN,,,0.40182,0.149322093,1,0,987.1677624,0.286683766,1367.051096,80.7578764,0.016965076,0.000743615,1000,100,1230.129198,0.00049929
40.427,14.81454255,NaN,crossfeeding,0.310116893,0.021232498,4.16E-08,6.09E-08,11.6770869,0.298970064,0.128449791,0.002973566,1,NaN,NaN,,,0.40427,0.148145426,1,0,987.1546775,0.297343233,1343.260406,89.78383379,0.017057545,0.000774147,1000,100,1206.906048,0.000558197
42.14,15.58474896,NaN,crossfeeding,0.440623643,0.040260276,8.13E-08,8.54E-08,11.61168738,0.286880805,0.128537939,0.002899786,1,NaN,NaN,,,0.4214,0.15584749,1,0,987.1458457,0.289973529,1300.840452,95.80496938,0.017188291,0.000760403,1000,100,1166.009168,0.000666289
42.708,14.63163477,NaN,crossfeeding,0.626051657,0.077117877,1.62E-07,1.69E-07,11.5100454,0.302737456,0.128881728,0.002973696,1,NaN,NaN,,,0.42708,0.146316348,1,0,987.1114496,0.29735705,1221.559073,114.6624669,0.01747408,0.000796474,1000,100,1089.077928,0.00086358
45.824,14.52704457,NaN,crossfeeding,0.889513497,0.135451404,2.98E-07,3.11E-07,11.34065085,0.316991683,0.129156176,0.003217665,1,NaN,NaN,,,0.45824,0.145270446,1,0,987.083974,0.321745504,1106.464298,125.8228939,0.017879121,0.000885028,1000,100,977.8539359,0.001197804
47.595,13.58142021,NaN,crossfeeding,1.263848203,0.245565239,5.81E-07,5.93E-07,11.07435336,0.305283083,0.12897564,0.003445807,1,NaN,NaN,,,0.47595,0.135814202,1,0,987.1019885,0.344559906,956.3653011,129.9196175,0.018310318,0.001020818,1000,100,833.7239988,0.001675602
48.652,11.94457601,NaN,crossfeeding,1.795714494,0.454369744,1.16E-06,1.20E-06,10.806693,0.295380707,0.127936513,0.003913697,1,NaN,NaN,,,0.48652,0.11944576,1,0,987.2058465,0.391348122,802.7191658,126.5480684,0.018582542,0.001203783,1000,100,685.9345522,0.00221479
