Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,sample_size,size,var_N,var_R
16.62,3.0944466387385,NaN,crossfeeding,1e-06,5.717068424047841e-13,-4.655975275578249e-14,3.0118341799971775e-12,11.659397016172953,0.3311637941723146,0.141399392027475,0.0030082691218549233,0,NaN,NaN,,,0.1662,0.030944466387385,1.0,0.0,985.1678256222621,10.043181330572327,1552.3840710634017,136.74836048549045,0.02104734157529234,0.0008736513591168858,100,100,1416.442532282659,0.0010535535095527772
16.62,3.0944466387385,NaN,crossfeeding,1.7012542798525892e-06,1.6579755034481613e-12,-1.2362229272371934e-14,8.78238541402242e-12,11.65939701520032,0.3311637939209988,0.1413993927076499,0.003008268668512823,0,NaN,NaN,,,0.1662,0.030944466387385,1.0,0.0,985.1678255540918,10.043181405547564,1552.384037837031,136.74845957803635,0.021047341778845596,0.0008736511910274685,100,100,1416.442499078969,0.001053553520753401
16.62,3.0944466387385,NaN,crossfeeding,2.894266124716752e-06,4.800682347101656e-12,-1.9309069413265878e-14,2.5443225691294327e-11,11.659397014555319,0.3311637945643546,0.14139939289444609,0.003008269125445225,0,NaN,NaN,,,0.1662,0.030944466387385,1.0,0.0,985.1678255320169,10.043181390171082,1552.3839794259452,136.7486273208637,0.021047341840215193,0.0008736512921666889,100,100,1416.4424406829237,0.0010535535292972638
16.62,3.0944466387385,NaN,crossfeeding,4.923882631706742e-06,1.3895806385832835e-11,1.812004672235401e-14,7.367894918528782e-11,11.659397013117694,0.33116379544230484,0.1413993935477236,0.0030082694696318326,0,NaN,NaN,,,0.1662,0.030944466387385,1.0,0.0,985.1678254622321,10.043181473267717,1552.3838812098163,136.74891272292976,0.021047342035273944,0.0008736513286102068,100,100,1416.4423425003185,0.0010535535396099262
16.62,3.0944466387385,NaN,crossfeeding,8.376776400682924e-06,4.021948110363973e-11,8.166480492058415e-14,2.1329422822861453e-10,11.65939701074787,0.33116379711256017,0.14139939489283887,0.0030082700203791536,0,NaN,NaN,,,0.1662,0.030944466387385,1.0,0.0,985.1678253527946,10.043181610159875,1552.3837127173322,136.74939890524251,0.021047342443368987,0.0008736513888306704,100,100,1416.4421740630958,0.0010535535673080003
16.62,3.0944466387385,NaN,crossfeeding,1.4251026703029993e-05,1.1640455171022366e-10,2.918840979752837e-13,6.173334414020074e-10,11.659397005685843,0.33116380022221564,0.1413993973711434,0.0030082712157460654,0,NaN,NaN,,,0.1662,0.030944466387385,1.0,0.0,985.1678250840829,10.043181799984321,1552.3834281048762,136.7502243315961,0.021047343193839343,0.0008736515610934095,100,100,1416.4418895686802,0.0010535536169168295
16.62,3.0944466387385,NaN,crossfeeding,2.424462017082331e-05,3.3690511392480694e-10,8.734018646444845e-13,1.7867240354152086e-09,11.659396997902368,0.3311638047299064,0.14139940156823322,0.0030082728970431405,0,NaN,NaN,,,0.1662,0.030944466387385,1.0,0.0,985.1678247149974,10.043182137889858,1552.3829407165917,136.75163152525067,0.02104734447427346,0.0008736517416170475,100,100,1416.441402361897,0.001053553710418987
16.62,3.0944466387385,NaN,crossfeeding,4.124626382901348e-05,9.750935918735722e-10,2.533526887227288e-12,5.17105869385479e-09,11.659396983702079,0.3311638126682584,0.1413994077965907,0.0030082760142177557,0,NaN,NaN,,,0.1662,0.030944466387385,1.0,0.0,985.1678240353265,10.04318271375262,1552.382112800348,136.75402288532615,0.02104734635889685,0.0008736521460206981,100,100,1416.440574776787,0.0010535538336703032
16.62,3.0944466387385,NaN,crossfeeding,7.017038286703837e-05,2.8221817174310803e-09,7.33831998404378e-12,1.496550616155178e-08,11.659396957636329,0.33116382709899966,0.14139941950169638,0.0030082814547543906,0,NaN,NaN,,,0.1662,0.030944466387385,1.0,0.0,985.1678228598663,10.04318380414916,1552.380696024831,136.75809127777947,0.02104734994329965,0.0008736528818331097,100,100,1416.4391586090917,0.0010535541078829382
16.62,3.0944466387385,NaN,crossfeeding,0.00011937766417144369,8.168143988465574e-09,2.124900532461951e-11,4.3309382047087697e-08,11.659396910380112,0.3311638501843672,0.1413994384176854,0.003008290370675971,0,NaN,NaN,,,0.1662,0.030944466387385,1.0,0.0,985.1678209657539,10.043185434506501,1552.378273836057,136.7650102768339,0.021047355710684033,0.0008736540055061859,100,100,1416.4367375222757,0.0010535545258472264
16.62,3.0944466387385,NaN,crossfeeding,0.00020309176209047368,2.364078867945005e-08,6.150385785875763e-11,1.2532442526359493e-07,11.659396816582312,0.3311638907066008,0.14139947133709466,0.0030083053534394224,0,NaN,NaN,,,0.1662,0.030944466387385,1.0,0.0,985.1678176609298,10.043188339949232,1552.3741094394945,136.7767760481619,0.02104736577948564,0.0008736558829945104,100,100,1416.432575312965,0.0010535552850757875
16.61,3.094818249913878,NaN,crossfeeding,0.0003455107294592222,6.842591710221298e-08,1.7816734382837536e-10,3.625840019012179e-07,11.659396622281228,0.3311639619683844,0.1413995266416583,0.003008331170720379,0,NaN,NaN,,,0.1661,0.030948182499138777,1.0,0.0,985.1678121217941,10.04319321948164,1552.3669022735712,136.7967744488395,0.021047382780700747,0.0008736591728053156,100,100,1416.4253726779082,0.0010535566462157116
16.62,3.1041262860908225,NaN,crossfeeding,0.0005878016072274912,1.9798402615032029e-07,5.155899495089555e-10,9.731888870950226e-07,11.659396186377014,0.33116408356742105,0.14139962207202267,0.0030083734485377234,0,NaN,NaN,,,0.16620000000000001,0.03104126286090822,1.0,0.0,985.1678025141811,10.043201545837066,1552.3543014766726,136.8307201707393,0.021047412356286432,0.0008736643256033438,100,100,1416.4127820457697,0.0010535592341755907
16.62,3.1041262860908225,NaN,crossfeeding,0.001,5.730191660476916e-07,1.4954987657843145e-09,2.4762759054032005e-06,11.659395148075818,0.33116430437611144,0.14139978407195866,0.0030084455217054833,0,NaN,NaN,,,0.16620000000000001,0.03104126286090822,1.0,0.0,985.1677862563332,10.043215748764545,1552.3319106333254,136.8881822819937,0.02104746324239604,0.0008736732453313663,100,100,1416.3904154143515,0.0010535643067995054
16.62,3.1041262860908225,NaN,crossfeeding,0.0017012542798525892,1.6584734321370295e-06,4.344436738169733e-09,6.7334371001086e-06,11.659392521917983,0.3311647015133099,0.14140006120206222,0.0030085632534236294,0,NaN,NaN,,,0.16620000000000001,0.03104126286090822,1.0,0.0,985.1677584173158,10.043239901879463,1552.291223530752,136.98473765336738,0.021047552243900407,0.0008736872920168208,100,100,1416.349789550595,0.001053574935953465
16.79,3.0209104587855626,NaN,crossfeeding,0.0028942661247167516,4.723344262696342e-06,1.8911008762546078e-07,2.526382110512218e-05,11.714557148849536,0.3408965470781284,0.14101921767278872,0.003117565269719713,0,NaN,NaN,,,0.1679,0.03020910458785563,1.0,0.0,987.0050887270527,10.115044425975531,1570.8027313150599,138.7039833712938,0.02093446713531124,0.0009131825537349961,100,100,1433.5718821213982,0.0010480473822658736
17.07,3.007507273474164,NaN,crossfeeding,0.004923882631706742,1.3388181815200868e-05,2.4872763585920607e-06,7.484613788151707e-05,11.740213406427197,0.3326155339113976,0.14078709344189427,0.003344333032762272,0,NaN,NaN,,,0.17069999999999996,0.030075072734741637,1.0,0.0,987.1953845234317,8.820254950274812,1564.7465337367626,141.902341584007,0.020881438144922666,0.0009743791034247299,100,100,1426.9139229083096,0.0010604324651059952
16.94,2.7416053691222593,NaN,crossfeeding,0.008376776400682925,3.843683207693583e-05,1.4139461149517484e-05,0.00017663601326790547,11.75719416522127,0.33735700405088526,0.14054834357060375,0.003191423817748492,0,NaN,NaN,,,0.16940000000000005,0.027416053691222596,1.0,0.0,987.161537933481,9.824304327776142,1580.8282258589684,137.2620565950549,0.02079677821635476,0.00094871120349416,100,100,1442.5966112202552,0.001042941335914283
16.42,2.8885290374167956,NaN,crossfeeding,0.014251026703029992,0.00011635445808666093,2.882837674543641e-06,0.00028052208338399167,11.77714528940135,0.3582077566045976,0.1403556835244867,0.0035294169416861224,0,NaN,NaN,,,0.16419999999999996,0.028885290374167955,1.0,0.0,987.0648785094328,9.638592610831974,1583.1730581560396,144.82427186225706,0.020742548573103193,0.0010231874192034834,100,100,1444.471906988371,0.001042830675477322
16.83,2.901913162036383,NaN,crossfeeding,0.02424462017082331,0.00032351260218485583,8.119036034260611e-05,0.00041672082053177526,11.738681192585044,0.3215741003218243,0.14082987105057942,0.003050192420292101,0,NaN,NaN,,,0.16829999999999995,0.029019131620363833,1.0,0.0,986.1044707872074,9.784826781314,1576.4902678692363,133.58768766417,0.020891845941450233,0.0008946323341346081,100,100,1438.6936317280865,0.0010587933613274043
17.42,3.1182687504447077,NaN,crossfeeding,0.041246263829013564,0.0009341857470635084,0.00022149895229433585,0.00437651167146087,11.687383026557105,0.35064843562625797,0.14117200144161438,0.0034269142087796018,0,NaN,NaN,,,0.1742,0.03118268750444708,1.0,0.0,986.2223859367313,9.545625733652725,1558.5036526957604,139.72799127814656,0.020983280616112366,0.0010016328681717007,100,100,1421.9087306863053,0.0010537466250811972
16.74,2.766297164080533,NaN,crossfeeding,0.07017038286703836,0.0027389187624310817,0.0019469258850399792,0.009710729887074868,11.748949122258656,0.33347615695181904,0.1407482832071024,0.0029581337229363995,0,NaN,NaN,,,0.1674,0.027662971640805327,1.0,0.0,987.1490350299887,10.042473292654734,1587.4143954815554,148.52030314548693,0.020877165596147728,0.0008554909850534218,100,100,1449.376590004133,0.0010670863704010287
17.01,2.6999814814179746,NaN,crossfeeding,0.11937766417144383,0.00791108586960361,0.0010592140775455867,0.004775051968924363,11.677933754245705,0.308845329728232,0.141056265196875,0.0030362756392051577,0,NaN,NaN,,,0.17009999999999995,0.02699981481417974,1.0,0.0,984.9229602493117,10.54765196383002,1535.2619906197515,142.457214336558,0.020985769939766877,0.0009106446285681527,100,100,1398.8878538512004,0.001088899988475745
17.43,3.0504261997301296,NaN,crossfeeding,0.2030917620904739,0.022739585207722186,0.0016587736542163936,0.060470739002690364,11.689219728729801,0.3802278845542394,0.14125411592613965,0.003700087558746256,0,NaN,NaN,,,0.17430000000000004,0.030504261997301295,1.0,0.0,987.4268666280068,9.611788870449345,1531.1058140617267,161.86167514568268,0.021121920667557283,0.0010830630677437095,100,100,1394.4679561952007,0.0011691954014819842
