Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,sample_size,size,var_N,var_R
16.88,2.8749956521706257,NaN,linear,1e-06,5.620211959849441e-13,-3.4832050836290686e-14,7.251228426087947e-13,11.79042638934701,0.31060465895466227,0.08458039923819267,0.0019261516805152354,0,NaN,NaN,,,0.16879999999999998,0.028749956521706255,1.0,0.0,992.2237019578145,9.97258462978437,1362.5776859525572,90.08932932524118,0.007253104337624047,0.00032586640759338744,100,100,1223.5635315099469,9.926040233198226e-05
16.88,2.8749956521706257,NaN,linear,1.7012542798525892e-06,1.629011079868819e-12,-3.233828702371592e-14,2.144379638509237e-12,11.790426387903825,0.3106046606114461,0.08458039920056985,0.0019261514763845643,0,NaN,NaN,,,0.16879999999999998,0.028749956521706255,1.0,0.0,992.2237019112778,9.972584497541412,1362.5776970859679,90.08923063082347,0.007253104337124123,0.00032586636803367625,100,100,1223.563542677389,9.926040819636493e-05
16.88,2.8749956521706257,NaN,linear,2.894266124716752e-06,4.7179401489019194e-12,3.3037279283163453e-14,6.2453788564974705e-12,11.790426385624682,0.3106046628267344,0.08458039948955627,0.0019261509376286299,0,NaN,NaN,,,0.16879999999999998,0.028749956521706255,1.0,0.0,992.2237018728106,9.972584366460497,1362.5777145494226,90.08906459230998,0.007253104389631651,0.0003258662699840113,100,100,1223.5635601945878,9.926041181872091e-05
16.88,2.8749956521706257,NaN,linear,4.923882631706742e-06,1.3656321735376338e-11,1.7608543427592212e-13,1.810067893005538e-11,11.79042638625123,0.31060467680056364,0.08458039961550516,0.0019261502157129182,0,NaN,NaN,,,0.16879999999999998,0.028749956521706255,1.0,0.0,992.2237021274118,9.972584726104682,1362.5777453096925,90.088782862818,0.007253104423925828,0.0003258661337969693,100,100,1223.5635909400833,9.926042480728299e-05
16.88,2.8749956521706257,NaN,linear,8.376776400682924e-06,3.95256130621526e-11,5.796161734057991e-13,5.241993120721906e-11,11.790426378559262,0.31060469032753196,0.0845803999476389,0.0019261489385292284,0,NaN,NaN,,,0.16879999999999998,0.028749956521706255,1.0,0.0,992.2237018871624,9.972584436627043,1362.577795805602,90.0883025953691,0.007253104499044228,0.0003258658933824849,100,100,1223.5636416173759,9.926044374167284e-05
16.88,2.8749956521706257,NaN,linear,1.4251026703029993e-05,1.1439702080047074e-10,1.7150421651703038e-12,1.517282143186928e-10,11.790426364869905,0.31060471451814886,0.08458040049069489,0.0019261467411867223,0,NaN,NaN,,,0.16879999999999998,0.028749956521706255,1.0,0.0,992.2237014171228,9.972583786066108,1362.577882637146,90.08748418206764,0.007253104623506729,0.0003258654834298122,100,100,1223.5637287717268,9.926047634038883e-05
16.88,2.8749956521706257,NaN,linear,2.424462017082331e-05,3.3109563793932956e-10,5.022369040277112e-12,4.390387142767971e-10,11.790426355075756,0.31060476754299904,0.08458040145085699,0.001926142991892599,0,NaN,NaN,,,0.16879999999999998,0.028749956521706255,1.0,0.0,992.2237017097831,9.972584264846434,1362.5780341846207,90.08609739103431,0.007253104840850491,0.00032586478226990693,100,100,1223.5638805501558,9.926053126235892e-05
16.88,2.8749956521706257,NaN,linear,4.124626382901348e-05,9.582794544157337e-10,1.4584355520584703e-11,1.2702216628818606e-09,11.790426324058378,0.31060484738503796,0.08458040295970627,0.0019261369082346452,0,NaN,NaN,,,0.16879999999999998,0.028749956521706255,1.0,0.0,992.2237010949681,9.972584463477366,1362.5782845829306,90.08373738094413,0.007253105192256746,0.00032586363154079315,100,100,1223.5641316798817,9.926062743045648e-05
16.88,2.8749956521706257,NaN,linear,7.017038286703837e-05,2.7735158851427415e-09,4.225283021299851e-11,3.6738913216749767e-09,11.790426280710712,0.3106049887353974,0.08458040604774399,0.0019261260671668795,0,NaN,NaN,,,0.16879999999999998,0.028749956521706255,1.0,0.0,992.223700884953,9.972584143484214,1362.5787096451563,90.07972988153395,0.007253105876287199,0.0003258616096640419,100,100,1223.5645577642824,9.926078908595144e-05
16.89,2.8597027817589717,NaN,linear,0.00011937766417144369,8.026725978531384e-09,1.2227594436696162e-10,1.9165682789692915e-08,11.790426204168334,0.31060522813827507,0.08458041052395324,0.001926107424897501,0,NaN,NaN,,,0.16889999999999997,0.028597027817589712,1.0,0.0,992.2237005495501,9.97258410178242,1362.5794216228135,90.07293370277995,0.007253106909259807,0.00032585812947189083,100,100,1223.565271546874,9.926106485934746e-05
