Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,sample_size,size,var_N,var_R
81.345,10.08047494,NaN,crossfeeding,1.00E-06,0.002700344,1.10E-08,1.43E-08,10.55680508,0.182464037,0.447890766,0.005672525,1,NaN,NaN,,,0.81345,0.100804749,1,0,955.2107397,0.56725444,315.087115,27.67708724,0.210894984,0.005244023,1000,100,203.6409814,0.010288845
81.345,10.08047494,NaN,crossfeeding,1.42E-06,0.002700343,1.10E-08,1.43E-08,10.55680508,0.182464038,0.447890766,0.005672525,1,NaN,NaN,,,0.81345,0.100804749,1,0,955.2107396,0.567254452,315.0871151,27.6770905,0.210894984,0.005244023,1000,100,203.6409816,0.010288845
81.635,10.00198855,NaN,crossfeeding,2.02E-06,0.002653553,1.10E-08,1.40E-08,10.5563183,0.184546992,0.447920898,0.005748036,1,NaN,NaN,,,0.81635,0.100019886,1,0,955.2077273,0.574803764,315.1648319,28.11696156,0.210932884,0.005309231,1000,100,203.7289758,0.010299753
81.637,10.00126147,NaN,crossfeeding,2.87E-06,0.002653404,1.10E-08,1.40E-08,10.5563183,0.184546996,0.447920898,0.005748035,1,NaN,NaN,,,0.81637,0.100012615,1,0,955.2077272,0.574803709,315.1648335,28.11696583,0.210932885,0.005309231,1000,100,203.7289775,0.010299754
81.601,10.01977041,NaN,crossfeeding,4.08E-06,0.002582684,1.06E-08,1.29E-08,10.56377084,0.192175368,0.447808112,0.005932002,1,NaN,NaN,,,0.81601,0.100197704,1,0,955.2190028,0.593201835,315.8800175,28.90935508,0.210880607,0.005448622,1000,100,204.2867631,0.010348502
81.913,10.12854535,NaN,crossfeeding,5.79E-06,0.002616574,1.07E-08,1.35E-08,10.56782316,0.191046374,0.447741976,0.005928275,1,NaN,NaN,,,0.81913,0.101285454,1,0,955.2256186,0.592831085,316.8814354,29.24897475,0.210897849,0.005510954,1000,100,205.202549,0.010424972
82.107,9.752104952,NaN,crossfeeding,8.23E-06,0.002497908,1.01E-08,1.23E-08,10.56278251,0.189510073,0.447718518,0.005977489,1,NaN,NaN,,,0.82107,0.09752105,1,0,955.2279701,0.597751282,315.2123033,28.4077222,0.210770312,0.005579754,1000,100,203.6399289,0.01031844
82.068,9.819133159,NaN,crossfeeding,1.17E-05,0.002524568,1.03E-08,1.29E-08,10.57087349,0.189553652,0.447779466,0.005956297,1,NaN,NaN,,,0.82068,0.098191332,1,0,955.2218726,0.595623952,317.2342045,29.08911859,0.211016957,0.005584904,1000,100,205.4908382,0.010510507
81.557,10.2477681,NaN,crossfeeding,1.66E-05,0.002719234,1.09E-08,1.39E-08,10.55588238,0.172623604,0.447903876,0.005569545,1,NaN,NaN,,,0.81557,0.102477681,1,0,955.2094237,0.556956882,315.4804997,26.64210859,0.210907332,0.005275722,1000,100,204.053847,0.01028945
82.091,10.14163296,NaN,crossfeeding,2.36E-05,0.002545042,1.02E-08,1.23E-08,10.55389979,0.18501228,0.448001627,0.005865571,1,NaN,NaN,,,0.82091,0.10141633,1,0,955.1996456,0.586555246,315.058084,28.26029307,0.210974153,0.005485174,1000,100,203.6732834,0.010268695
