Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,sample_size,size,var_N,var_R
62.93,3.421271693391216,NaN,linear,1e-06,0.00947062868120366,7.008188863993609e-06,2.4548880818017302e-05,10.473097904006774,0.19793646761212444,0.3789586185667541,0.0044491807529052395,0,NaN,NaN,,,0.6293,0.03421271693391217,1.0,0.0,963.9142077454557,11.254974765232511,259.8813305051184,18.176218381834353,0.14847216710720512,0.003493304725304377,100,100,150.19555079820734,0.004862532521182491
62.93,3.421271693391216,NaN,linear,1.7012542798525892e-06,0.009470630275432653,7.009533898459629e-06,2.4556445567173167e-05,10.47309791971234,0.19793646058380918,0.3789586183688084,0.0044491803549428985,0,NaN,NaN,,,0.6293,0.03421271693391217,1.0,0.0,963.9142080290334,11.254974592250017,259.8813438394827,18.176221822791376,0.1484721668554808,0.0034933043839816655,100,100,150.1955638035998,0.004862532419484654
62.93,3.421271693391216,NaN,linear,2.894266124716752e-06,0.009470632988180561,7.006341370325024e-06,2.455205768141695e-05,10.47309793744036,0.197936447406803,0.37895861889551713,0.0044491802408616905,0,NaN,NaN,,,0.6293,0.03421271693391217,1.0,0.0,963.9142077961494,11.25497467527685,259.88136528813175,18.17622773392903,0.14847216713566624,0.0034933046659474734,100,100,150.19558488091423,0.00486253230046847
62.93,3.421271693391216,NaN,linear,4.923882631706742e-06,0.009470637604873393,7.012561353044827e-06,2.45746654116541e-05,10.473097972010802,0.1979364211984347,0.37895861949229065,0.004449180445247803,0,NaN,NaN,,,0.6293,0.03421271693391217,1.0,0.0,963.9142077833964,11.254974040744882,259.8814021409346,18.176236898429742,0.14847216730981258,0.0034933051740164444,100,100,150.19562100959783,0.004862532022309838
62.93,3.421271693391216,NaN,linear,8.376776400682924e-06,0.009470645463727443,7.013526340708702e-06,2.458975667626842e-05,10.473098029574619,0.19793638087245413,0.37895861970562816,0.004449179321599889,0,NaN,NaN,,,0.6293,0.03421271693391217,1.0,0.0,963.9142076749418,11.25497382599509,259.88146494692137,18.176253085598518,0.14847216700942253,0.0034933049560093086,100,100,150.19568260984164,0.004862531560227618
62.93,3.421271693391216,NaN,linear,1.4251026703029993e-05,0.009470658847198447,7.016399248681478e-06,2.461720956938731e-05,10.47309812914061,0.19793631221361216,0.37895862138612035,0.004449178427247213,0,NaN,NaN,,,0.6293,0.03421271693391217,1.0,0.0,963.9142076483403,11.254973106654374,259.88157187867597,18.176281855270187,0.14847216750489384,0.003493305320451931,100,100,150.19578745606742,0.004862530782024929
62.93,3.421271693391216,NaN,linear,2.424462017082331e-05,0.009470681655142966,7.023987578794932e-06,2.467059252483541e-05,10.473098293933855,0.1979361948068519,0.3789586232665431,0.004449177109468238,0,NaN,NaN,,,0.6293,0.03421271693391217,1.0,0.0,963.9142072600148,11.254971953713671,259.88175351333985,18.17632928504035,0.1484721676116716,0.0034933061868327214,100,100,150.1959656389396,0.004862529463597843
62.93,3.421271693391216,NaN,linear,4.124626382901348e-05,0.009470720570900681,7.035585074002393e-06,2.476037544436596e-05,10.473098576414685,0.1979359944336553,0.37895862690625054,0.0044491743988950136,0,NaN,NaN,,,0.6293,0.03421271693391217,1.0,0.0,963.914207055937,11.254969939582233,259.8820627448898,18.176411442787398,0.14847216814171282,0.003493307129664468,100,100,150.1962689535905,0.004862527235042019
62.93,3.421271693391216,NaN,linear,7.017038286703837e-05,0.00947078710553572,7.052412565681469e-06,2.490054829814242e-05,10.473099049936597,0.1979356562672362,0.3789586325890974,0.004449170377364803,0,NaN,NaN,,,0.6293,0.03421271693391217,1.0,0.0,963.9142067273677,11.254966270486253,259.882588982886,18.176553251477486,0.1484721686460032,0.0034933093389089894,100,100,150.19678527310313,0.004862523432204703
62.93,3.421271693391216,NaN,linear,0.00011937766417144369,0.009470901250749704,7.086435697214726e-06,2.516534121297172e-05,10.473099825208081,0.1979350858321421,0.37895864112788846,0.004449163502310726,0,NaN,NaN,,,0.6293,0.03421271693391217,1.0,0.0,963.9142055818103,11.254960150399521,259.8834819084092,18.17679985978858,0.14847216872620386,0.0034933129122101027,100,100,150.19766195963567,0.004862517040708112
