Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,sample_size,size,var_N,var_R
99.938,0.245267201,NaN,crossfeeding,1.00E-06,0.999997273,1.020916539,1.020916539,8.624112828,0.839342614,0.833003092,0.008030948,1,NaN,NaN,,,0.99938,0.002452672,1,0,822.3145401,77.66775455,98.76162171,23.21182596,0.721232044,0.013942352,1000,100,24.38629963,0.027337892
99.938,0.245267201,NaN,crossfeeding,1.42E-06,0.999996126,1.020300722,1.020300723,8.625499387,0.838795365,0.833003092,0.008030949,1,NaN,NaN,,,0.99938,0.002452672,1,0,822.4506511,77.63357299,98.79060615,23.1943862,0.721232044,0.013942353,1000,100,24.39136648,0.027337893
99.938,0.245267201,NaN,crossfeeding,2.02E-06,0.999994496,1.020301125,1.020301126,8.625499391,0.838795365,0.833003092,0.00803095,1,NaN,NaN,,,0.99938,0.002452672,1,0,822.450651,77.63357287,98.79060669,23.19438669,0.721232044,0.013942355,1000,100,24.39136694,0.027337894
99.938,0.245267201,NaN,crossfeeding,2.87E-06,0.999992179,1.020283671,1.020283672,8.625309789,0.837697719,0.833003091,0.008030951,1,NaN,NaN,,,0.99938,0.002452672,1,0,822.429344,77.51114426,98.79653339,23.23128714,0.721232044,0.013942358,1000,100,24.40056443,0.027337895
99.938,0.245267201,NaN,crossfeeding,4.08E-06,0.999988888,1.019799415,1.019799414,8.626110476,0.838091843,0.83300309,0.008030954,1,NaN,NaN,,,0.99938,0.002452672,1,0,822.5046345,77.52894113,98.81533802,23.23235493,0.721232044,0.013942362,1000,100,24.40555608,0.027337896
99.939,0.243472791,NaN,crossfeeding,5.79E-06,0.999984211,1.020200946,1.020200946,8.622540696,0.839116239,0.833003088,0.008030957,1,NaN,NaN,,,0.99939,0.002434728,1,0,822.1641918,77.64201115,98.72733287,23.22962995,0.721232044,0.013942368,1000,100,24.37912482,0.027337899
99.938,0.245267201,NaN,crossfeeding,8.23E-06,0.999977567,1.019424405,1.019424406,8.625493976,0.838780695,0.833002898,0.008031195,1,NaN,NaN,,,0.99938,0.002452672,1,0,822.4463587,77.61222846,98.79689579,23.21013046,0.721231539,0.013942927,1000,100,24.39774945,0.02733771
99.939,0.243472791,NaN,crossfeeding,1.17E-05,0.999968126,1.019341016,1.019341008,8.626813241,0.839079581,0.833003166,0.00803119,1,NaN,NaN,,,0.99939,0.002434728,1,0,822.5693005,77.58652465,98.83007504,23.22186721,0.721232319,0.013943008,1000,100,24.40816835,0.027338044
99.939,0.243472791,NaN,crossfeeding,1.66E-05,0.999954713,1.018603732,1.018603711,8.626494954,0.839113439,0.833003162,0.008031199,1,NaN,NaN,,,0.99939,0.002434728,1,0,822.5370427,77.55651999,98.81994057,23.22989315,0.721232319,0.013943024,1000,100,24.40352538,0.027338051
99.939,0.243472791,NaN,crossfeeding,2.36E-05,0.999935655,1.018665092,1.01866504,8.631740959,0.835813822,0.833003717,0.008031534,1,NaN,NaN,,,0.99939,0.002434728,1,0,823.0438991,77.27172949,98.93272976,23.11677317,0.721233896,0.013944366,1000,100,24.42577777,0.027338703
99.925,0.285263037,NaN,crossfeeding,3.35E-05,0.999908595,0.970683244,0.970683406,8.68313534,0.847126,0.833222919,0.008090914,1,NaN,NaN,,,0.99925,0.00285263,1,0,827.8017667,77.86911734,100.6691686,24.47139534,0.721723714,0.014017491,1000,100,25.27232931,0.027463282
99.924,0.286747275,NaN,crossfeeding,4.76E-05,0.999870132,0.979465711,0.979465957,8.664174791,0.848929434,0.833223061,0.008090916,1,NaN,NaN,,,0.99924,0.002867473,1,0,825.9894582,78.08098777,100.1696657,24.29685186,0.7217241,0.014017584,1000,100,25.10174092,0.02746343
99.924,0.286747275,NaN,crossfeeding,6.77E-05,0.999815492,0.976323102,0.976323129,8.672464547,0.848708389,0.833218992,0.008128214,1,NaN,NaN,,,0.99924,0.002867473,1,0,826.7053772,77.92745819,100.4540493,24.43882975,0.72174897,0.014112467,1000,100,25.24240797,0.027495081
99.928,0.277156995,NaN,crossfeeding,9.62E-05,0.999737846,0.974584247,0.974584453,8.672537897,0.851526555,0.833219459,0.008128437,1,NaN,NaN,,,0.99928,0.00277157,1,0,826.7162355,78.2710389,100.3995909,24.05395872,0.721750297,0.014113373,1000,100,25.18667728,0.027495629
99.937,0.262737512,NaN,crossfeeding,0.000136645,0.999627232,0.984181681,0.984184243,8.620978631,0.849422084,0.832982679,0.0084814,1,NaN,NaN,,,0.99937,0.002627375,1,0,821.724154,78.08627454,98.9238821,23.71422786,0.721277199,0.014563704,1000,100,24.60260954,0.027417056
