phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,dynamics,size,mu,epsilon,sample_size,K,M,S
0.99998875,0.9999762499999999,0.05000867598491249,0.47497457054089476,0.05000923858884662,0.4749858514548668,-8.265909180168798e-07,0.0026001272230040525,0.24369552635451447,0.002600156474764395,0.24370131426072816,4.1063213205991657e-08,99.997625,0.21241318079394225,0.0010061676984976212,0.0021241318079394216,0.0004959383717133559,0.00678720776629307,5.153081905542951e-05,0.7262359176007654,9.925954924008979e-05,0.018094683694007033,1.9499491415996246,3.8205345373680495,4.740264762347306,0.0675337154358116,0.9123083448696745,0.01890035529207002,0.999872314343934,0.2228097100225324,0.22280960358831794,-0.9962668636133817,-0.9962668636133817,1.2499999999999997e-05,quadratic,100,1.0,1e-06,8000,1.0,100,100
0.99999375,0.99999,0.04999158232377964,0.4750727597758637,0.04999189477312197,0.4750775105509691,-3.57019695345013e-07,0.0025983939147892765,0.24121481742905593,0.002598410154852744,0.24121722960135178,1.5633721604787907e-08,99.999,0.0894371287553441,0.0005589820547209014,0.0008943712875534404,0.0004938535176655657,0.006259231339835131,5.096116511535668e-05,0.4951007623015778,9.923561155403936e-05,0.015520690348000403,1.9501455206454772,3.8187057754472877,4.739698301209448,0.06736633229452789,0.9127188686027019,0.019124464780288977,0.9998719876017499,0.22333209935224585,0.22333192124583948,-1.0040322080677706,-1.0040322080677706,3.749999999999998e-06,quadratic,100,1.0,1.1097524964120722e-06,8000,1.0,100,100
0.99998875,0.9999762499999999,0.050008675979554384,0.47497457056783593,0.050009238583488456,0.47498585148180855,-8.265980692120061e-07,0.0026001272228070773,0.24369555224254086,0.002600156474567417,0.24370134014936934,4.1063799884031825e-08,99.997625,0.21241318079394225,0.0010061676984976212,0.0021241318079394216,0.0004959384045894283,0.00678721138421573,5.153081915626702e-05,0.7262382341299265,9.925954957901791e-05,0.018094709556440724,1.9499491417734267,3.820534564120656,4.740264761865475,0.06753371677080712,0.9123083448795871,0.018900355299612013,0.999871682937696,0.22280971052038087,0.2228096044994009,-0.9962668675547538,-0.9962668675547538,1.2500000000000002e-05,quadratic,100,1.0,1.2315506032928261e-06,8000,1.0,100,100
0.99999375,0.99999,0.04999158230732242,0.47507275971046026,0.04999189475666461,0.47507751048556524,-3.5702134460951496e-07,0.002598393912954864,0.24121483165347657,0.0025984101530183165,0.24121724382591495,1.563361690254715e-08,99.999,0.0894371287553441,0.0005589820547209014,0.0008943712875534404,0.0004938535149581141,0.006259233947980132,5.0961164364063134e-05,0.49510204633247923,9.923561136507251e-05,0.015520704634563872,1.9501455207679472,3.8187057901877615,4.739698299882277,0.0673663319523309,0.9127188686310798,0.019124464775432844,0.9998712869457046,0.22333209684806257,0.2233319186245825,-1.0040322128288464,-1.0040322128288464,3.7500000000000005e-06,quadratic,100,1.0,1.3667163564620074e-06,8000,1.0,100,100
0.99998875,0.9999762499999999,0.05000867597295584,0.4749745705985379,0.050009238576889846,0.47498585151251116,-8.266068758353168e-07,0.0026001272225742848,0.2436955834865488,0.002600156474334623,0.2437013713941192,4.1064529415406884e-08,99.997625,0.21241318079394225,0.0010061676984976212,0.0021241318079394216,0.0004959384450775437,0.0067872156888832665,5.153081925842343e-05,0.7262410299540303,9.925955000619396e-05,0.018094740771283303,1.9499491419825228,3.8205345964063073,4.74026476126849,0.06753371842595789,0.9123083448917954,0.0189003553089002,0.999870905329308,0.22280971113242848,0.2228096056209168,-0.9962668724086541,-0.9962668724086541,1.2499999999999996e-05,quadratic,100,1.0,1.5167168884709241e-06,8000,1.0,100,100
0.99999375,0.99999,0.049991582287054546,0.4750727596299055,0.04999189473639664,0.47507751040500956,-3.570233756062306e-07,0.002598393910696212,0.2412148491707208,0.0025984101507596537,0.2412172613433343,1.5633488004929383e-08,99.999,0.0894371287553441,0.0005589820547209014,0.0008943712875534404,0.0004938535116247021,0.006259237159863994,5.0961163438946664e-05,0.49510362760199694,9.923561113286627e-05,0.015520722228346865,1.9501455209187664,3.81870580834048,4.739698298247755,0.06736633153097402,0.9127188686660288,0.019124464769452353,0.9998704240527546,0.22333209376331667,0.22333191539564484,-1.0040322186916266,-1.0040322186916266,3.750000000000002e-06,quadratic,100,1.0,1.6831803533309585e-06,8000,1.0,100,100
0.99998875,0.9999762499999999,0.05000867596482975,0.47497457063444803,0.05000923856876365,0.4749858515484224,-8.266177209767525e-07,0.0026001272222815554,0.24369562157912328,0.0026001564740418884,0.24370140948759866,4.1065421903120606e-08,99.997625,0.21241318079394225,0.0010061676984976212,0.0021241318079394216,0.0004959384949400508,0.006787220874631562,5.1530819399966684e-05,0.7262444386264892,9.925955052621425e-05,0.018094778829744997,1.949949142236246,3.820534635763981,4.740264760526718,0.06753372048452383,0.9123083449068305,0.01890035532033884,0.9998699476657527,0.22280971188619034,0.22280960700131627,-0.9962668783863277,-0.9962668783863277,1.25e-05,quadratic,100,1.0,1.867913599020781e-06,8000,1.0,100,100
0.99999375,0.99999,0.049991582262093874,0.4750727595306844,0.0499918947114358,0.4750775103057876,-3.5702587664501467e-07,0.0025983939079153753,0.24121487074252496,0.002598410147978798,0.24121728291535427,1.563332933582289e-08,99.999,0.0894371287553441,0.0005589820547209014,0.0008943712875534404,0.0004938535075208802,0.006259241115129297,5.096116229983034e-05,0.49510557486994977,9.923561084767625e-05,0.015520743894425489,1.950145521104495,3.818705830694783,4.739698296234688,0.06736633101216835,0.912718868709071,0.01912446476208722,0.9998693613570667,0.22333208996321016,0.2233319114179421,-1.004032225910837,-1.004032225910837,3.7499999999999992e-06,quadratic,100,1.0,2.0729217795953697e-06,8000,1.0,100,100
0.99998875,0.9999762499999999,0.05000867595482262,0.474974570680893,0.05000923855875641,0.4749858515948684,-8.266310763127941e-07,0.002600127221925352,0.24369566901669687,0.002600156473685681,0.24370145692629888,4.106652371514336e-08,99.997625,0.21241318079394225,0.0010061676984976212,0.0021241318079394216,0.0004959385563472476,0.006787227397132987,5.153081956648002e-05,0.7262486834939053,9.925955117089791e-05,0.018094826223198232,1.9499491425531745,3.8205346847803163,4.740264759618225,0.06753372300411677,0.9123083449253477,0.018900355334425748,0.9998687682554176,0.22280971281179182,0.22280960870012945,-0.9962668857479072,-0.9962668857479072,1.2499999999999997e-05,quadratic,100,1.0,2.300430119772917e-06,8000,1.0,100,100
0.99999375,0.99999,0.049991582231353734,0.4750727594084716,0.04999189468069549,0.4750775101835735,-3.570289564421851e-07,0.0025983939044918413,0.24121489730748963,0.0025984101445552447,0.2412173094805845,1.5633134040533026e-08,99.999,0.0894371287553441,0.0005589820547209014,0.0008943712875534404,0.0004938535024690058,0.006259245985868717,5.0961160897271596e-05,0.49510797285965497,9.923561049763894e-05,0.015520770575510075,1.9501455213332153,3.818705858223282,4.739698293755395,0.06736633037340574,0.9127188687620805,0.019124464753016893,0.99986805259453,0.2233320852815375,0.2233319065175274,-1.0040322347999908,-1.0040322347999908,3.7499999999999997e-06,quadratic,100,1.0,2.5529080682395166e-06,8000,1.0,100,100
