Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
100.0,0.0,-1.0376705412280531e-17,quadratic,1e-06,0.9999972586370591,6.473114281544225,6.473114275900732,9.00018081744704,0.10068046406229315,1.000013411130381,0.010038402615643476,0,-1.0000000003470657,-1.0000000003470657,82.01502385984755,1.8183741934389839,1.0,0.0,1.0,0.0,899.0283633388403,12.797236094074332,82.01502416521345,1.8183741848832875,1.0100464013066204,0.02012886900777528,100,1.0117694184717727,0.010019578866000191
100.0,0.0,-8.19173829238808e-18,quadratic,1.261856883066021e-06,0.9999965407930895,6.473114308674598,6.473114301551748,9.00018081736799,0.10068046418346328,1.0000134112102206,0.01003840247649383,0,-1.0000000004382839,-1.0000000004382839,82.01502385896477,1.818374192006888,1.0,0.0,1.0,0.0,899.0283633673745,12.797236008891225,82.0150241571965,1.8183741793324306,1.0100464016186976,0.020128868737496895,100,1.011769411877744,0.010019579018395923
100.0,0.0,-6.137008631491943e-18,quadratic,1.592282793341094e-06,0.9999956349772005,6.473114342895909,6.473114333905375,9.000180817268062,0.1006804643370012,1.0000134113109675,0.010038402301005745,0,-1.0000000005535878,-1.0000000005535878,82.01502385785102,1.8183741901999675,1.0,0.0,1.0,0.0,899.0283634033626,12.797235901452765,82.01502414709327,1.81837417233998,1.0100464020126934,0.020128868396647782,100,1.0117694035732814,0.010019579210895016
100.0,0.0,-4.703356072969404e-18,quadratic,2.0092330025650458e-06,0.9999944919679267,6.473114386057005,6.473114374708194,9.000180817141676,0.10068046453176091,1.0000134114381,0.0100384020797223,0,-1.0000000006994025,-1.0000000006994025,82.01502385644586,1.8183741879201782,1.0,0.0,1.0,0.0,899.0283634487454,12.797235765961101,82.01502413436513,1.818374163535516,1.0100464025101825,0.02012886796686904,100,1.011769393120127,0.010019579454115782
100.0,0.0,-4.219091811003828e-18,quadratic,2.5353644939701112e-06,0.9999930496549864,6.473114440486039,6.473114426158951,9.000180816981741,0.1006804647791388,1.000013411598528,0.010038401800744896,0,-1.0000000008839058,-1.0000000008839058,82.0150238546732,1.818374185043866,1.0,0.0,1.0,0.0,899.028363505966,12.797235595117872,82.0150241183371,1.8183741524558066,1.0100464031384533,0.020128867425065797,100,1.0117693799709646,0.010019579761526311
100.0,0.0,-3.341760068976204e-18,quadratic,3.1992671377973847e-06,0.999991229664353,6.473114509112939,6.473114491023687,9.000180816779206,0.10068046509387214,1.000013411800973,0.010038401449114411,0,-1.0000000011175276,-1.0000000011175276,82.01502385243697,1.8183741814150964,1.0,0.0,1.0,0.0,899.0283635780971,12.797235379741753,82.01502409816467,1.8183741385229892,1.0100464039320538,0.02012886674220928,100,1.0117693634442406,0.010019580150231683
100.0,0.0,-2.4521359250397736e-18,quadratic,4.037017258596558e-06,0.999988933099635,6.4731145956216425,6.473114572778671,9.00018081652248,0.10068046549512544,1.0000134120564432,0.010038401006042499,0,-1.0000000014136072,-1.0000000014136072,82.0150238496162,1.8183741768372634,1.0,0.0,1.0,0.0,899.0283636689998,12.797235108292082,82.01502407279365,1.8183741210185007,1.0100464049347615,0.02012886588185035,100,1.0117693426943926,0.010019580641991732
100.0,0.0,-1.8698222995398283e-18,quadratic,5.0941380148163755e-06,0.9999860351683991,6.4731147046365,6.473114675785637,9.000180816196702,0.10068046600798554,1.0000134123788307,0.010038400447960956,0,-1.000000001789259,-1.000000001789259,82.01502384605845,1.8183741710625323,1.0,0.0,1.0,0.0,899.0283637835203,12.797234766277601,82.01502404091259,1.8183740990525208,1.0100464062020973,0.020128864798283658,100,1.01176931667747,0.010019581264543949
100.0,0.0,-1.3354614705654527e-18,quadratic,6.4280731172843194e-06,0.9999823784015031,6.473114841923682,6.4731148054956735,9.000180815782702,0.10068046666554865,1.000013412785671,0.01003839974535299,0,-1.000000002266529,-1.000000002266529,82.0150238415717,1.8183741637785737,1.0,0.0,1.0,0.0,899.0283639277334,12.797234335526152,82.0150240008958,1.8183740715291405,1.0100464078045792,0.020128863434294517,100,1.0117692841128134,0.010019582053334402
100.0,0.0,-1.4043500664200613e-18,quadratic,8.111308307896873e-06,0.9999777640970959,6.473115012501783,6.473114968538327,9.000180815255643,0.10068046751187018,1.0000134132990977,0.010038398861327564,0,-1.0000000028739522,-1.0000000028739522,82.01502383591425,1.8183741545919228,1.0,0.0,1.0,0.0,899.0283641092393,12.79723379328813,82.01502395073852,1.8183740371083443,1.010046409831912,0.020128861718416963,100,1.0117692434428,0.010019583053800078
