Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,sample_size,size,var_N,var_R
1.101,0.320622831,NaN,crossfeeding,1.00E-06,9.50E-14,2.19E-18,-1.36E-18,11.68760349,0.791513553,1.25215315,0.069823455,1,NaN,NaN,,,0.01101,0.003206228,1,0,874.7846539,6.982344793,13722.6569,1945.088796,1.603696499,0.174376119,1000,100,13586.05683,0.035808987
1.091,0.317362569,NaN,crossfeeding,1.42E-06,1.62E-13,4.16E-18,-4.59E-18,11.71405962,0.819965227,1.249990589,0.072440702,1,NaN,NaN,,,0.01091,0.003173626,1,0,875.0009097,7.244068725,13789.15356,2004.778797,1.598565953,0.180752043,1000,100,13651.93436,0.036089481
1.079079079,0.307973376,NaN,crossfeeding,2.02E-06,2.60E-13,4.16E-17,4.16E-17,11.72477697,0.810361882,1.248873391,0.071405053,1,NaN,NaN,,,0.010790791,0.003079734,1,0,875.1126314,7.14050527,13812.70798,1987.822218,1.595573579,0.178073569,1000,100,13675.23758,0.035888831
1.103,0.329227885,NaN,crossfeeding,2.87E-06,7.71E-13,9.66E-18,5.41E-19,11.71431504,0.862429645,1.250311243,0.074430581,1,NaN,NaN,,,0.01103,0.003292279,1,0,874.9688443,7.443056437,13796.89615,2151.356908,1.59967821,0.184307899,1000,100,13659.67097,0.036400006
1.078,0.293114312,NaN,crossfeeding,4.08E-06,1.17E-12,5.79E-18,1.31E-17,11.69378356,0.788037837,1.251583518,0.070178115,1,NaN,NaN,,,0.01078,0.002931143,1,0,874.8416173,7.017810824,13736.55776,1916.698361,1.602295058,0.175694753,1000,100,13599.81318,0.035833756
1.098,0.329235478,NaN,crossfeeding,5.79E-06,2.92E-12,3.96E-17,2.99E-17,11.7548351,0.823664438,1.2462403,0.072873762,1,NaN,NaN,,,0.01098,0.003292355,1,0,875.3759387,7.287374802,13885.45713,2010.996272,1.589100803,0.181900194,1000,100,13747.28098,0.035985918
1.083,0.290018965,NaN,crossfeeding,8.23E-06,5.39E-12,5.44E-17,4.65E-17,11.72926688,0.829115907,1.248625695,0.07257985,1,NaN,NaN,,,0.01083,0.00290019,1,0,875.1373993,7.257984285,13826.31346,2042.334691,1.595115234,0.180502673,1000,100,13688.73776,0.036049108
1.09,0.293087018,NaN,crossfeeding,1.17E-05,1.16E-11,1.17E-16,1.23E-16,11.72462555,0.870456785,1.249345422,0.073909278,1,NaN,NaN,,,0.0109,0.00293087,1,0,875.0654264,7.390925939,13822.45391,2210.071511,1.59714301,0.182350247,1000,100,13684.98707,0.036279026
1.106,0.338768357,NaN,crossfeeding,1.66E-05,2.60E-11,2.43E-16,2.36E-16,11.75374046,0.834793043,1.246438011,0.073486932,1,NaN,NaN,,,0.01106,0.003387684,1,0,875.356168,7.348692581,13884.72941,2046.480812,1.589693547,0.18313342,1000,100,13746.579,0.036085832
1.076,0.279685538,NaN,crossfeeding,2.36E-05,3.93E-11,3.31E-16,3.26E-16,11.68090199,0.798705029,1.252899111,0.071105622,1,NaN,NaN,,,0.01076,0.002796855,1,0,874.7100588,7.110561707,13708.14009,1946.651914,1.605780991,0.178170373,1000,100,13571.69662,0.03602481
1.066,0.263901497,NaN,crossfeeding,3.35E-05,6.59E-11,8.88E-16,8.89E-16,11.76612388,0.805458629,1.244977324,0.0709053,1,NaN,NaN,,,0.01066,0.002639015,1,0,875.5022365,7.090528461,13909.04346,1971.974134,1.585612074,0.176517579,1000,100,13770.60179,0.035643536
1.079,0.297924487,NaN,crossfeeding,4.76E-05,1.55E-10,1.17E-15,1.16E-15,11.68274614,0.818819999,1.25295149,0.072959858,1,NaN,NaN,,,0.01079,0.002979245,1,0,874.7048204,7.295984181,13715.70235,1989.401744,1.606185692,0.182660723,1000,100,13579.2158,0.036298255
1.088,0.319774921,NaN,crossfeeding,6.77E-05,3.45E-10,3.13E-15,3.13E-15,11.74125503,0.802869354,1.247329453,0.071738201,1,NaN,NaN,,,0.01088,0.003197749,1,0,875.2670245,7.173819634,13850.16688,1945.999138,1.591699301,0.17973701,1000,100,13712.30981,0.035868536
1.087087087,0.318629798,NaN,crossfeeding,9.62E-05,6.83E-10,9.19E-15,9.18E-15,11.74382168,0.754912747,1.246615409,0.067914628,1,NaN,NaN,,,0.010870871,0.003186298,1,0,875.3384285,6.79146227,13848.72408,1820.374571,1.589348204,0.170567901,1000,100,13710.80673,0.035298227
1.095,0.331624788,NaN,crossfeeding,0.000136645,1.57E-09,2.73E-14,2.73E-14,11.69324521,0.808588796,1.251865818,0.07224419,1,NaN,NaN,,,0.01095,0.003316248,1,0,874.8133884,7.224419199,13738.57991,1960.502152,1.603315796,0.181062034,1000,100,13601.84793,0.036147768
1.081,0.297386953,NaN,crossfeeding,0.000194149,2.72E-09,2.76E-14,2.76E-14,11.74929901,0.806084213,1.246571463,0.07122437,1,NaN,NaN,,,0.01081,0.00297387,1,0,875.3428227,7.122435623,13869.57989,1967.200776,1.589701578,0.177508628,1000,100,13731.53387,0.035761166
1.1,0.32249031,NaN,crossfeeding,0.000275853,7.16E-09,3.61E-08,3.61E-08,11.69665851,0.776997025,1.251256752,0.069963342,1,NaN,NaN,,,0.011,0.003224903,1,0,874.874294,6.99633389,13735.5726,1886.27131,1.601443521,0.175776216,1000,100,13598.76078,0.035800061
1.086,0.31081184,NaN,crossfeeding,0.000391941,1.19E-08,1.51E-13,1.51E-13,11.69787408,0.79244237,1.251209432,0.07011285,1,NaN,NaN,,,0.01086,0.003108118,1,0,874.8790257,7.011284162,13746.82227,1939.355915,1.60136016,0.175220743,1000,100,13609.98202,0.035835117
1.094,0.318062887,NaN,crossfeeding,0.000556881,2.66E-08,5.89E-13,5.89E-13,11.75313516,0.818818064,1.246263979,0.071313448,1,NaN,NaN,,,0.01094,0.003180629,1,0,875.3735717,7.131343951,13880.66488,2023.339542,1.588986356,0.176939067,1000,100,13742.5287,0.03581245
