Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,sample_size,size,var_N,var_R
1.0235,0.15148514778683753,NaN,linear,1e-06,2.312431279447025e-14,-5.832235030969537e-19,-2.575525714218373e-19,12.384778817023593,0.8139286377386239,0.7494541757258077,0.04249072021097307,1.0,NaN,NaN,1666.9736733456757,60.47059913011235,0.010235000000000001,0.0015148514778683749,1.0,0.0,924.7873903201171,10.971715703127181,15404.522611117593,2091.5162789294986,0.5690631010510303,0.06319695643843726,4000,100,15251.139864770996,0.007381539538180459
1.02525,0.16159343272546692,NaN,linear,1.7012542798525892e-06,6.775078456035003e-14,1.65924495856337e-18,1.8512108599385046e-18,12.386331423667972,0.8197054846637551,0.7493782611879282,0.043066882018165165,1.0,NaN,NaN,1666.9413554179864,60.25288076957407,0.010252500000000001,0.001615934327254669,1.0,0.0,924.7369624389119,10.89213974486514,15409.312316272732,2104.6534217916474,0.5690112263902696,0.06402046297568194,4000,100,15255.891110135786,0.007443448049226925
1.02,0.14696938456699066,NaN,linear,2.894266124716752e-06,1.5928387402945632e-13,1.0324464054519812e-18,-3.4279293929333712e-18,12.399286622172903,0.8222075830558947,0.7490065243056635,0.04299562146355537,1.0,NaN,NaN,1668.6207670402075,60.39189223149923,0.010199999999999999,0.0014696938456699065,1.0,0.0,925.2443943278878,10.879190246567155,15441.833402397682,2120.856106901271,0.5684521335425176,0.06392611249137425,4000,100,15288.091093658886,0.007441360090067049
1.02325,0.15397869170765155,NaN,linear,4.923882631706742e-06,5.434640442375383e-13,6.533183999622299e-18,6.157279360406025e-18,12.39485652083894,0.799365552181138,0.7491375352571467,0.04225545767462909,1.0,NaN,NaN,1668.3811171474847,59.0364413445835,0.010232500000000002,0.0015397869170765159,1.0,0.0,925.2304975186619,10.8577424928669,15427.145341697784,2047.3314696040577,0.5685568836095939,0.06297485551425346,4000,100,15273.5128735256,0.0073498368784412375
1.0205,0.14345643938143732,NaN,linear,8.376776400682924e-06,1.3785762313946579e-12,4.481811052756314e-16,4.481144502431102e-16,12.395774587123803,0.8177708672369982,0.7490522450747018,0.04295639228502538,1.0,NaN,NaN,1668.0803652471038,60.13814103295134,0.010204999999999999,0.0014345643938143734,1.0,0.0,925.0565051003756,10.889197970210235,15432.397601925984,2100.365344125708,0.5684909617479073,0.06387184749122268,4000,100,15278.7423743112,0.007411695896456106
1.02275,0.1524219062339794,NaN,linear,1.4251026703029993e-05,4.63521588758616e-12,1.4647010831591407e-16,1.4775023655917982e-16,12.3973965783758,0.8304427061007592,0.7491119199567272,0.0433190482637476,1.0,NaN,NaN,1668.348889086294,60.361629869557994,0.0102275,0.001524219062339794,1.0,0.0,925.1715645696055,10.73269080165785,15438.507692986459,2149.3802895104277,0.5686104807027006,0.06417877886260209,4000,100,15284.812251064935,0.007441812081446532
1.02825,0.16867702125660153,NaN,linear,2.424462017082331e-05,1.606144069628244e-11,5.944716658615357e-16,5.921052122536255e-16,12.396260720498478,0.8321005302743291,0.7492289194396936,0.043482075262930284,1.0,NaN,NaN,1668.3542804516617,60.67606881941184,0.010282499999999998,0.0016867702125660153,1.0,0.0,925.2131864794246,10.878250670062593,15435.967101765724,2151.2979361262924,0.5688004366758147,0.06449214629891438,4000,100,15282.29982191515,0.007456462951043842
1.0195048762190548,0.1400876905869746,NaN,linear,4.124626382901348e-05,3.2604000627265196e-11,3.110806576304279e-16,3.110095626327111e-16,12.393830536548048,0.8093652225897333,0.7491523371659105,0.04247248550829606,1.0,NaN,NaN,1668.087454275183,59.67686734537966,0.010195048762190547,0.0014008769058697457,1.0,0.0,925.1103789155912,10.777026065457052,15426.210741060537,2078.7695892233673,0.5685977481359584,0.0631429962736334,4000,100,15272.603705691867,0.00736852385481242
1.027,0.16664633209284865,NaN,linear,7.017038286703837e-05,1.2788996735181488e-10,2.1737739151886864e-15,2.1728488719801237e-15,12.389004424157255,0.814009268506028,0.7492867165981425,0.042906884159080935,1.0,NaN,NaN,1667.3324990747237,59.85091730254008,0.01027,0.0016664633209284867,1.0,0.0,924.8597178506418,10.739069325252293,15415.004165735962,2086.150754992894,0.5688576025688064,0.06385615151365473,4000,100,15261.516735114174,0.007427018898381299
1.02025,0.14261815277165807,NaN,linear,0.00011937766417144369,2.8173902379289673e-10,4.202306584077495e-15,4.2024082794743164e-15,12.379306744843598,0.8156453861142172,0.7500448000417148,0.04297547610804479,1.0,NaN,NaN,1667.1155541749513,60.03619867264135,0.0102025,0.0014261815277165806,1.0,0.0,925.0593649078505,10.881537868851778,15391.251284347252,2091.9222190795176,0.5699984260052898,0.06394075671210486,4000,100,15238.004048864323,0.007431223935673878
1.02025,0.14085431303300583,NaN,linear,0.00020309176209047368,8.336177741131122e-10,7.872018307405037e-15,7.870665090460326e-15,12.387845833662592,0.8253716184558678,0.7497039861398435,0.04315298587684849,1.0,NaN,NaN,1667.8854477048553,60.784722983044595,0.0102025,0.0014085431303300583,1.0,0.0,925.2168133014407,10.987475883958536,15413.99626847533,2125.685662062074,0.5695046995947524,0.06411748159886878,4000,100,15260.537544076738,0.007448632760781793
1.02275,0.15077280092908005,NaN,linear,0.0003455107294592222,2.6638641691888503e-09,5.754792401534955e-09,5.75479242220751e-09,12.382454364000923,0.8305274392040994,0.7497775977020004,0.043257812014605164,1.0,NaN,NaN,1666.9525137753933,60.474142658040535,0.010227499999999999,0.0015077280092908006,1.0,0.0,924.8833706194747,10.905407954375114,15400.898075025107,2163.945739626173,0.5696075961409007,0.06419554239420917,4000,100,15247.572898948541,0.007441150125118032
1.02075,0.14939691261870172,NaN,linear,0.0005878016072274912,6.681634098255256e-09,5.703463728093274e-08,5.70173656633797e-08,12.389170171255033,0.8206282818097692,0.7495835702442464,0.04301971233004369,1.0,NaN,NaN,1667.9667551138275,60.80652338826886,0.010207500000000001,0.0014939691261870176,1.0,0.0,925.2015570753322,11.04709145511703,15414.652022663153,2110.2243700735635,0.5693051691174869,0.0640335945543829,4000,100,15261.160485130837,0.0074296403373757605
1.02425,0.15382437225615453,NaN,linear,0.001,2.4160632526458362e-08,1.1564739537400302e-06,1.1563462621391145e-06,12.36965438077615,0.8038954556119796,0.7503889367942794,0.04246293642629005,1.0,NaN,NaN,1666.1193949112142,59.326045349301616,0.0102425,0.0015382437225615448,1.0,0.0,924.8051839701827,10.78422743713502,15350.765936810965,2082.727254073999,0.5705285477994797,0.06329305246182874,4000,100,15197.757587311111,0.007444991336230696
1.027,0.1681398227666486,NaN,linear,0.0017012542798525892,7.43432349526775e-08,6.917143851984331e-06,6.918263538838768e-06,12.38285626938661,0.8439143386103046,0.750111310685255,0.04383314246250539,1.0,NaN,NaN,1667.169964592013,61.5815522258669,0.01027,0.001681398227666486,1.0,0.0,925.0246124221927,10.980112373499207,15376.804865723903,2238.2603425813013,0.5702994181955718,0.06496978414796162,4000,100,15223.469736335615,0.007632439777620615
1.0355,0.1955498657631858,NaN,linear,0.0028942661247167516,2.7838284104236956e-07,3.600650594770027e-05,3.597851869890189e-05,12.39858786991896,0.8366916461767866,0.7492910061506851,0.04363719094507557,1.0,NaN,NaN,1667.902146781201,60.89452617286642,0.010355,0.001955498657631858,1.0,0.0,924.9208757531121,10.890040734793835,15384.424119302845,2281.5861843661687,0.5693021417653991,0.06478685169875545,4000,100,15230.699138134743,0.007865129867092969
1.06275,0.2594464058336519,NaN,linear,0.004923882631706742,1.4317641472617743e-06,0.00037816084310388824,0.00037805293286345064,12.393941933493775,0.8266083420436642,0.7502102269916753,0.043086961381425655,1.0,NaN,NaN,1667.1195483754263,60.84904460113423,0.010627500000000002,0.002594464058336519,1.0,0.0,924.7198690384938,10.960832491777452,15228.134769044986,2493.922086619917,0.5714132101220832,0.06414639661318439,4000,100,15074.52497239417,0.00859782543918236
1.151287821955489,0.39167086749762725,NaN,linear,0.008376776400682925,9.787714744402198e-06,0.0032863619023336577,0.003287572715431788,12.381638321802965,0.8374966048562448,0.7533752914938845,0.04399481882124544,1.0,NaN,NaN,1665.8842754886775,60.57333632900642,0.01151287821955489,0.0039167086749762724,1.0,0.0,924.6919670701362,10.645309388407052,14799.592096502407,3051.8986315875754,0.5785188000680983,0.0660037777440053,4000,100,14646.287128970467,0.01094447023460288
1.3915,0.6226778862301118,NaN,linear,0.014251026703029992,6.500960221736689e-05,0.02142450134012235,0.02144698091010321,12.352206640842535,0.8415461067014548,0.7608525825491654,0.04318294377618929,1.0,NaN,NaN,1661.8375831803628,60.51934812179322,0.013915,0.006226778862301117,1.0,0.0,923.9665114697744,10.933156775113444,13774.948827261036,3924.313831279411,0.596173782961454,0.06526010563861188,4000,100,13622.37181836296,0.01727713058971934
