Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,sample_size,size,var_N,var_R
0.0,0.0,1.0,quadratic,1e-06,0.0,0.0,0.0,0.0,0.0,9.998639059832392,0.1007909756071839,0,0.0,,1.1862738287448888e-17,7.066726016395106e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.97386781662735,2.0223196341397944,8000,100,0.0,1.0010847678213746
0.0,0.0,1.0,quadratic,1.1492187010036997e-06,0.0,0.0,0.0,0.0,0.0,9.998223077137448,0.0996151853363781,0,0.0,,1.165042773769608e-17,6.958663189023434e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.96331216539673,1.9984287544845971,8000,100,0.0,0.9988474651929043
0.0,0.0,1.0,quadratic,1.320703622736631e-06,0.0,0.0,0.0,0.0,0.0,9.998639059832392,0.10079097560718393,0,0.0,,1.186273830161959e-17,7.066726030160823e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.97386781662735,2.0223196341397944,8000,100,0.0,1.0010847678213748
0.0,0.0,1.0,quadratic,1.5177773017322715e-06,0.0,0.0,0.0,0.0,0.0,9.998223077137448,0.09961518533637807,0,0.0,,1.1650427757574027e-17,6.958663198225059e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.96331216539673,1.9984287544845971,8000,100,0.0,0.9988474651929043
0.0,0.0,1.0,quadratic,1.7442580591096615e-06,0.0,0.0,0.0,0.0,0.0,9.998639059832392,0.10079097560718396,0,0.0,,1.1862738323086234e-17,7.066726046430845e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.97386781662735,2.022319634139795,8000,100,0.0,1.0010847678213748
0.0,0.0,1.0,quadratic,2.00453398090524e-06,0.0,0.0,0.0,0.0,0.0,9.998223077137448,0.09961518533637807,0,0.0,,1.1650427779084942e-17,6.958663220846653e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.96331216539673,1.998428754484597,8000,100,0.0,0.9988474651929043
0.0,0.0,1.0,quadratic,2.3036479376536947e-06,0.0,0.0,0.0,0.0,0.0,9.998639059832392,0.10079097560718395,0,0.0,,1.1862738366345267e-17,7.066726068948493e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.97386781662735,2.022319634139795,8000,100,0.0,1.0010847678213748
0.0,0.0,1.0,quadratic,2.647395290480231e-06,0.0,0.0,0.0,0.0,0.0,9.998223077137448,0.09961518533637807,0,0.0,,1.1650427821535615e-17,6.958663238079396e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.96331216539673,1.998428754484597,8000,100,0.0,0.9988474651929043
0.0,0.0,1.0,quadratic,3.0424361767690037e-06,0.0,0.0,0.0,0.0,0.0,9.998639059832392,0.10079097560718396,0,0.0,,1.1862738403861447e-17,7.066726092830181e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.97386781662735,2.0223196341397953,8000,100,0.0,1.0010847678213748
0.0,0.0,1.0,quadratic,3.496424550953137e-06,0.0,0.0,0.0,0.0,0.0,9.99822307713745,0.09961518533637807,0,0.0,,1.1650427869906242e-17,6.958663268418249e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.96331216539676,1.9984287544845964,8000,100,0.0,0.998847465192904
0.0,0.0,1.0,quadratic,4.018156480603808e-06,0.0,0.0,0.0,0.0,0.0,9.998639059832392,0.10079097560718397,0,0.0,,1.1862738467778531e-17,7.066726143679914e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.97386781662735,2.0223196341397958,8000,100,0.0,1.0010847678213748
