phi_R,phi_N,mean_R,mean_N,q_R,q_N,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,dynamics,size,mu,epsilon,sample_size
1.0,0.0,9.982682302734668,0.0,100.64579877533741,0.0,0.0,0.0,0.0,0.0,0.1000018648188744,0.0,1.9429957647274256,0.0,0.9918528180054852,0.0,0.0,0.0,1.2043089142350703e-17,5.2318202528243816e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,3e-06,1e-06,10
1.0,0.0,9.980379155793957,0.0,100.58823620443357,0.0,0.0,0.0,0.0,0.0,0.11095780301683249,0.0,2.2310842400544253,0.0,0.9802681110270849,0.0,0.0,0.0,1.0041129695556871e-17,7.663764624064e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,5.1037628395577675e-06,1.7012542798525892e-06,10
1.0,0.0,10.01254144093832,0.0,101.33146413403642,0.0,0.0,0.0,0.0,0.0,0.07793080399250288,0.0,1.5467179190742661,0.0,1.0804780275292292,0.0,0.0,0.0,1.3561963758349776e-17,7.64101384297457e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,8.682798374150256e-06,2.894266124716752e-06,10
1.0,0.0,9.982682302734656,0.0,100.64579877533716,0.0,0.0,0.0,0.0,0.0,0.10000186481887266,0.0,1.9429957647273994,0.0,0.9918528180054759,0.0,0.0,0.0,1.2043127687374723e-17,5.231850174778153e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,1.4771647895120225e-05,4.923882631706742e-06,10
1.0,0.0,9.980379155793925,0.0,100.5882362044329,0.0,0.0,0.0,0.0,0.0,0.11095780301682724,0.0,2.2310842400543165,0.0,0.9802681110270621,0.0,0.0,0.0,1.0041252806719176e-17,7.663854626401683e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,2.513032920204877e-05,8.376776400682924e-06,10
1.0,0.0,10.012541440938287,0.0,101.33146413403576,0.0,0.0,0.0,0.0,0.0,0.07793080399252289,0.0,1.5467179190746259,0.0,1.0804780275291954,0.0,0.0,0.0,1.3562152835608721e-17,7.641155066647711e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,4.275308010908998e-05,1.4251026703029993e-05,10
1.0,0.0,9.982682302734608,0.0,100.64579877533616,0.0,0.0,0.0,0.0,0.0,0.10000186481886644,0.0,1.9429957647273015,0.0,0.9918528180054307,0.0,0.0,0.0,1.20433239275088e-17,5.231999217577006e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,7.273386051246992e-05,2.424462017082331e-05,10
1.0,0.0,9.980379155793763,0.0,100.58823620442956,0.0,0.0,0.0,0.0,0.0,0.11095780301680438,0.0,2.231084240053815,0.0,0.980268111026949,0.0,0.0,0.0,1.0041874889106703e-17,7.664305279635336e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.00012373879148704043,4.124626382901348e-05,10
1.0,0.0,10.012541440938115,0.0,101.33146413403213,0.0,0.0,0.0,0.0,0.0,0.07793080399261515,0.0,1.5467179190763911,0.0,1.0804780275290278,0.0,0.0,0.0,1.3563144347616117e-17,7.641875954238207e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.00021051114860111511,7.017038286703837e-05,10
1.0,0.0,9.982682302734341,0.0,100.6457987753306,0.0,0.0,0.0,0.0,0.0,0.10000186481883071,0.0,1.9429957647267027,0.0,0.9918528180051992,0.0,0.0,0.0,1.2044468248570624e-17,5.23279118372767e-18,0.0,0.0,0.0,0.0,,1.0,quadratic,100,0.0003581329925143311,0.00011937766417144369,10
