Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,size,var_N,var_R
0.0,0.0,1.0,quadratic,1e-06,,,,0.0,0.0,10.000479894412786,0.10064704998144182,0,0.0,,1.1697229605011965e-17,6.991723262103851e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124139,2.01742986378192,100,0.0,1.0004337938595311
0.0,0.0,1.0,quadratic,1.261856883066021e-06,,,,0.0,0.0,10.000479894412786,0.10064704998144182,0,0.0,,1.1697229547211348e-17,6.991723131284883e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124139,2.01742986378192,100,0.0,1.0004337938595314
0.0,0.0,1.0,quadratic,1.592282793341094e-06,,,,0.0,0.0,10.000479894412786,0.10064704998144183,0,0.0,,1.1697229479754418e-17,6.991722984100561e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124139,2.0174298637819206,100,0.0,1.0004337938595314
0.0,0.0,1.0,quadratic,2.0092330025650458e-06,,,,0.0,0.0,10.000479894412786,0.10064704998144187,0,0.0,,1.1697229393310721e-17,6.991722784653526e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124139,2.017429863781921,100,0.0,1.0004337938595314
0.0,0.0,1.0,quadratic,2.5353644939701112e-06,,,,0.0,0.0,10.000479894412784,0.1006470499814419,0,0.0,,1.1697229289082762e-17,6.99172254837652e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241387,2.017429863781922,100,0.0,1.0004337938595314
0.0,0.0,1.0,quadratic,3.1992671377973847e-06,,,,0.0,0.0,10.000479894412786,0.10064704998144193,0,0.0,,1.169722916356717e-17,6.99172225250101e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124139,2.017429863781923,100,0.0,1.0004337938595314
0.0,0.0,1.0,quadratic,4.037017258596558e-06,,,,0.0,0.0,10.000479894412786,0.10064704998144197,0,0.0,,1.1697229005096622e-17,6.991721883983496e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124139,2.0174298637819237,100,0.0,1.0004337938595314
0.0,0.0,1.0,quadratic,5.0941380148163755e-06,,,,0.0,0.0,10.000479894412786,0.10064704998144201,0,0.0,,1.1697228801423698e-17,6.991721412558556e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124139,2.017429863781925,100,0.0,1.0004337938595314
0.0,0.0,1.0,quadratic,6.4280731172843194e-06,,,,0.0,0.0,10.000479894412786,0.10064704998144208,0,0.0,,1.1697228565122517e-17,6.991720825782747e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124139,2.0174298637819263,100,0.0,1.0004337938595314
0.0,0.0,1.0,quadratic,8.111308307896873e-06,,,,0.0,0.0,10.000479894412786,0.10064704998144218,0,0.0,,1.1697228268592501e-17,6.991720088853284e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124139,2.0174298637819286,100,0.0,1.0004337938595314
0.0,0.0,1.0,quadratic,1.023531021899027e-05,,,,0.0,0.0,10.000479894412786,0.10064704998144229,0,0.0,,1.1697227935498606e-17,6.991719191308608e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124139,2.0174298637819303,100,0.0,1.0004337938595314
0.0,0.0,1.0,quadratic,1.2915496650148827e-05,,,,0.0,0.0,10.000479894412786,0.10064704998144239,0,0.0,,1.1697227524940567e-17,6.991718077152418e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124139,2.017429863781934,100,0.0,1.0004337938595318
0.0,0.0,1.0,quadratic,1.6297508346206434e-05,,,,0.0,0.0,10.000479894412786,0.10064704998144254,0,0.0,,1.1697227049813206e-17,6.991716686570431e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0100319124139,2.017429863781937,100,0.0,1.0004337938595318
0.0,0.0,1.0,quadratic,2.0565123083486515e-05,,,,0.0,0.0,10.000479894412788,0.10064704998144276,0,0.0,,1.1697226528506319e-17,6.991714987924692e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241394,2.017429863781942,100,0.0,1.0004337938595318
0.0,0.0,1.0,quadratic,2.5950242113997373e-05,,,,0.0,0.0,10.00047989441279,0.10064704998144301,0,0.0,,1.1697225982493293e-17,6.991712905398789e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241396,2.0174298637819477,100,0.0,1.000433793859532
0.0,0.0,1.0,quadratic,3.274549162877732e-05,,,,0.0,0.0,10.00047989441279,0.10064704998144332,0,0.0,,1.1697225462390505e-17,6.991710404068066e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241396,2.017429863781955,100,0.0,1.0004337938595322
0.0,0.0,1.0,quadratic,4.1320124001153344e-05,,,,0.0,0.0,10.000479894412791,0.1006470499814437,0,0.0,,1.1697225082167806e-17,6.99170739958735e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241401,2.0174298637819645,100,0.0,1.0004337938595327
0.0,0.0,1.0,quadratic,5.2140082879996844e-05,,,,0.0,0.0,10.00047989441279,0.10064704998144423,0,0.0,,1.1697225050226613e-17,6.991703849888642e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241396,2.017429863781976,100,0.0,1.0004337938595333
0.0,0.0,1.0,quadratic,6.579332246575683e-05,,,,0.0,0.0,10.00047989441279,0.10064704998144486,0,0.0,,1.1697225635279523e-17,6.991699755401142e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241396,2.0174298637819907,100,0.0,1.0004337938595333
0.0,0.0,1.0,quadratic,8.302175681319735e-05,,,,0.0,0.0,10.00047989441279,0.10064704998144565,0,0.0,,1.1697227336761957e-17,6.991695233076093e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.01003191241396,2.0174298637820094,100,0.0,1.000433793859534
