phi_R,phi_N,mean_R,mean_N,q_R,q_N,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,dynamics,size,mu,epsilon,sample_size
1.0,1.0,1.0040323167433713,8.98568269573711,1.018480657611268,81.81517639148589,100.0,0.0,0.0,0.0,0.008780915459445744,0.08762555067644694,0.01781090351563598,1.5919917123340201,0.010399764546206327,1.0726828830165693,901.2166336285087,12.066909405909644,81.81566127111398,1.5919971902420964,0.9999972707065385,6.518204008440338,6.518204677788307,-0.999999937149506,-0.999999937149506,-2.6876656222422356e-17,quadratic,100,3e-06,1e-06,10
1.0,1.0,0.9996686580916349,8.970197092641898,1.0101321780031745,81.47304306978805,100.0,0.0,0.0,0.0,0.008770057060529166,0.11110692536668755,0.018329713983624703,2.0829469936976324,0.010794752032444599,1.0086071889468886,895.4439854619292,14.14902173438232,81.47387726664206,2.0829709318668774,0.9999953027552323,6.391843034121347,6.391842914629409,-0.9999998996902981,-0.9999998996902981,-2.1717659833216264e-17,quadratic,100,5.1037628395577675e-06,1.7012542798525892e-06,10
1.0,1.0,0.9947814040544508,9.0448134418755,0.9997870388766166,82.84385925343253,100.0,0.0,0.0,0.0,0.006731399004271361,0.07082678473343207,0.013999252123367407,1.2801258876918145,0.010196997024072008,1.035209055100813,898.7267663866245,7.7215027407171775,82.84528802177384,1.2801395348563651,0.9999921681312596,6.462471053961343,6.462471056937142,-0.9999998491334823,-0.9999998491334823,-5.498365671290982e-18,quadratic,100,8.682798374150256e-06,2.894266124716752e-06,10
1.0,1.0,1.0040204576883824,8.98558858900132,1.0184568400217242,81.81348516974688,100.0,0.0,0.0,0.0,0.008780842195357219,0.08762510097052803,0.017810516464548714,1.5919702017995843,0.010399760564935344,1.0726828789561476,901.2071898506276,12.066860426481256,81.81587396425738,1.5919972954935833,0.9999865613245408,6.518103352574654,6.518106648843701,-0.9999996905560922,-0.9999996905560922,-4.761838090122342e-18,quadratic,100,1.4771647895120225e-05,4.923882631706742e-06,10
1.0,1.0,0.9996483529282499,8.970035097400173,1.010091508988164,81.47013248201145,100.0,0.0,0.0,0.0,0.008770091737162021,0.1111043342476363,0.018329442538543548,2.082859118933934,0.01079467947600095,1.0086028334205217,895.4278244338857,14.148817184311822,81.47424115621224,2.0829771132077535,0.9999768714537425,6.391690553496524,6.391689966284562,-0.9999995061594001,-0.9999995061594001,-1.4123830636044085e-18,quadratic,100,2.513032920204877e-05,8.376776400682924e-06,10
1.0,1.0,0.9947473475650631,9.044537793709315,0.9997193507663071,82.83886776889304,100.0,0.0,0.0,0.0,0.006731649173221447,0.07082551326939875,0.013999373039750209,1.2800743695952321,0.010197065278578644,1.0352038670568686,898.6993612432847,7.721531007609925,82.84590381273875,1.280141601370898,0.9999614371750349,6.462189225805085,6.46218927428999,-0.9999992573602299,-0.9999992573602299,-1.349489807786985e-18,quadratic,100,4.275308010908998e-05,1.4251026703029993e-05,10
1.0,1.0,1.0039620691869866,8.985125246477466,1.0183395777586621,81.80515858972052,100.0,0.0,0.0,0.0,0.008780481747936546,0.08762288839345436,0.017808611377189622,1.5918643271533957,0.010399741392446309,1.072682894833782,901.1606926043056,12.066619360883855,81.81692117142828,1.5919978150290037,0.9999338306356718,6.517607717204008,6.517623959558884,-0.9999984769296659,-0.9999984769296659,-5.201561531599133e-18,quadratic,100,7.273386051246992e-05,2.424462017082331e-05,10
1.0,1.0,0.9995483846466564,8.969237533964227,1.0098912968072786,81.45580343564696,100.0,0.0,0.0,0.0,0.00877026293064781,0.11109158040646851,0.018328106985648053,2.082426579684118,0.010794323557538342,1.0085814949742684,895.3482576175624,14.147810317497013,81.47603270469152,2.083007546680744,0.9998861210420434,6.390939717877458,6.390936853605969,-0.999997570146934,-0.999997570146934,-6.468467033977216e-18,quadratic,100,0.00012373879148704043,4.124626382901348e-05,10
1.0,1.0,0.9945796914723171,9.043180772667585,0.9993861676860647,82.81429712771289,100.0,0.0,0.0,0.0,0.006732882697186859,0.07081927204495969,0.013999971404478376,1.2798211026080175,0.01019740499689524,1.0351786405682066,898.564445186473,7.721671192110532,82.84893531689706,1.2801517838631356,0.9998101303281878,6.460785155962428,6.4607802614354854,-0.9999963484019485,-0.9999963484019485,1.7360494351809044e-18,quadratic,100,0.00021051114860111511,7.017038286703837e-05,10
1.0,1.0,1.0036746702687207,8.982844480869263,1.017762501165984,81.76417880961347,100.0,0.0,0.0,0.0,0.008778714123517304,0.08761203562747803,0.017799248063585286,1.5913439983556101,0.010399657426959025,1.072683842130086,900.931813668577,12.065434885012719,81.82207582664391,1.592000404392933,0.9996742163963865,6.515166773216867,6.5152470810631655,-0.9999925150080108,-0.9999925150080108,6.508263848337548e-18,quadratic,100,0.0003581329925143311,0.00011937766417144369,10
1.0,1.0,0.9990564423438077,8.965312415196166,1.0089063785176577,81.38530573628336,100.0,0.0,0.0,0.0,0.008771116739527027,0.11102889155782358,0.018321555310643726,2.0803003369774804,0.010792603528991652,1.0084790342128338,894.9566783898377,14.142860218505673,81.48484920739727,2.0831573314950385,0.9994393531201634,6.387241829474574,6.387228307764403,-0.9999880783535456,-0.9999880783535456,3.104660908368937e-18,quadratic,100,0.000609275286271421,0.00020309176209047368,10
1.0,1.0,0.9937549975578449,9.036504729782827,0.997748160997193,82.69347987569286,100.0,0.0,0.0,0.0,0.006738997851260938,0.07078900768810839,0.014002989445108985,1.2785837546393226,0.010199165826000722,1.0350621443054613,897.9007073032053,7.72238560310108,82.86384808102932,1.2802020956488078,0.9990653258963886,6.453513519706915,6.453470554838174,-0.9999821429150539,-0.9999821429150539,-7.638874862798432e-18,quadratic,100,0.0010365321883776665,0.0003455107294592222,10
1.0,1.0,0.995638249889586,9.006255989599435,1.0010436674258703,82.09621110275403,100.0,0.0,0.0,0.0,0.007869434728713674,0.10233781438324126,0.01593145524542729,1.7875089009859562,0.009748142782672378,0.9835641525583364,897.5459127259892,11.388576572624725,82.38594203284309,1.8024189302505376,0.9983882686173212,6.523669318174894,6.5235286327751805,-0.9999665524066076,-0.9999665524066076,-6.145956889296914e-18,quadratic,100,0.0017634048216824735,0.0005878016072274912,10
1.0,1.0,0.9967601558654765,8.963786615461556,1.0034458177300338,81.38892771357362,100.0,0.0,0.0,0.0,0.012757098897710845,0.10599119534284338,0.02534704255530028,1.8993695700150455,0.009915009409064928,1.0394572260458803,895.1200332347125,13.515405493219312,81.8723971434299,1.9088594969615065,0.9972660612372483,6.470832424796557,6.470861293758327,-0.9999437917888038,-0.9999437917888038,-1.3839645534700396e-18,quadratic,100,0.003,0.001,10
1.0,1.0,0.9907394195818469,8.982529113156211,0.9907839172577185,81.6288191660137,100.0,0.0,0.0,0.0,0.013849766565569611,0.12934186571600415,0.027938956036820898,2.388852533552569,0.009219319744343788,0.9429898973147838,893.9155972930796,13.040460154831674,82.44313812172325,2.41417647929143,0.9953399103478802,6.727125057833691,6.728924108189775,-0.9999011269154853,-0.9999011269154853,-2.473778777571596e-18,quadratic,100,0.0051037628395577675,0.0017012542798525892,10
1.0,1.0,0.9887438005561316,8.950583374561878,0.9873768801799993,81.09698591427518,100.0,0.0,0.0,0.0,0.007850432726429114,0.10001233924108112,0.015764714265305693,1.734980013831816,0.009762577041815842,0.9840431692916823,892.0014180043418,11.187875260837213,82.51049871265062,1.8072736604670814,0.9920799367383178,6.468582607766686,6.467844308759655,-0.9998438715328941,-0.9998438715328941,4.0117566499057065e-18,quadratic,100,0.008682798374150254,0.0028942661247167516,10
1.0,1.0,0.9851893234977214,8.871083630024813,0.9805571211281521,79.7364282019858,100.0,0.0,0.0,0.0,0.012643337260584914,0.10498143908853631,0.02484683879474732,1.8653345152067757,0.009959117994254162,1.0403034310915846,885.8555887909006,13.414115208504228,82.08057472658005,1.910557126402115,0.9865840671273421,6.383878443440148,6.383796512406235,-0.9997477630490381,-0.9997477630490381,-5.943683852933544e-18,quadratic,100,0.014771647895120225,0.004923882631706742,10
1.0,1.0,0.9716639327923262,8.82819862727534,0.9533489690614348,78.88000190134854,100.0,0.0,0.0,0.0,0.013191136993984706,0.1265498554401445,0.026150386817374156,2.29947660387078,0.00921817077198458,0.9429108987223449,878.5462239319568,12.45826609230982,82.78796053359454,2.4186007565409455,0.9771873423445594,6.5982995284341355,6.6048818873334,-0.9995832583933326,-0.9995832583933326,-1.0509476748113503e-18,quadratic,100,0.025130329202048773,0.008376776400682925,10
1.0,1.0,0.9561407020091176,8.685899564464894,0.9241659502376556,76.44377369235525,100.0,0.0,0.0,0.0,0.007865538056667783,0.08943016481955154,0.01520682259461657,1.4993945762151109,0.009960908199167371,0.9989224483838206,865.6407071989457,10.289228474240792,83.1009238535623,1.8297355378418119,0.9613872112203585,6.194158373346532,6.1909512099538855,-0.9994364070056898,-0.9994364070056898,-1.0479562807242177e-17,quadratic,100,0.04275308010908997,0.014251026703029992,10
1.0,1.0,0.9319296507044763,8.440505206476988,0.8790595460346882,72.31711435688204,100.0,0.0,0.0,0.0,0.012228266553809616,0.10111584936843104,0.02289692535464522,1.7265530484203409,0.010566672172520991,1.0749862163168982,842.8243603335974,12.99305770155266,83.04269687177816,1.9187883591459594,0.9350430953950845,5.913815992685323,5.914738495672109,-0.99934151395092,-0.99934151395092,-1.1447099347422934e-17,quadratic,100,0.07273386051246993,0.02424462017082331,10
