Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,sample_size,size,var_N,var_R
100.0,0.0,-1.8325385500624875e-21,quadratic,1e-06,0.9999921489188289,6.475122720889166,6.475122756957271,8.999294634412378,0.10028315287068444,0.9996355400561895,0.009917424197444537,0,-0.999998999803116,-0.999998999803116,82.00762965536003,1.8145489235036476,1.0,0.0,1.0,0.0,898.6416060306052,12.776667799596105,81.99952990275688,1.8143696135479936,1.0092662398952021,0.019877854183705638,4000,100,1.012225985793465,0.009995026951772536
100.0,0.0,5.0655686648119465e-21,quadratic,1.232846739442066e-06,0.999990320825767,6.4750311492547805,6.475031193772189,8.99920150313211,0.10028198328824846,0.9996239029586822,0.009917308955355109,0,-0.999998766934496,-0.999998766934496,82.00783911903643,1.8145510228226078,1.0,0.0,1.0,0.0,898.6322962492702,12.77653544280238,81.99785343666609,1.8143299632094658,1.0092429718422296,0.019877393688090293,4000,100,1.0122257426908754,0.009995024475880594
100.0,0.0,-1.2719978799951685e-21,quadratic,1.519911082952933e-06,0.9999880670701022,6.474918257282605,6.474918312254186,8.999086689147322,0.10028054141426118,0.9996095565738966,0.009917166883851537,0,-0.9999984798556345,-0.9999984798556345,82.00809734930831,1.8145536108978655,1.0,0.0,1.0,0.0,898.620818976649,12.776372271295207,81.995786681886,1.8142810823017779,1.0092142870187195,0.019876825991088688,4000,100,1.0122254430974773,0.009995021424857243
100.0,0.0,-1.0082684594869577e-20,quadratic,1.873817422860383e-06,0.9999852885391969,6.474779081529919,6.474779149454447,8.998945145068008,0.10027876386830661,0.9995918702469925,0.009916991738043392,0,-0.9999981259503294,-0.9999981259503294,82.00841569802336,1.8145568015018376,1.0,0.0,1.0,0.0,898.6066696551153,12.776171112118265,81.99323879786233,1.814220822495765,1.0091789247293783,0.019876126143431695,4000,100,1.0122250739192595,0.00999501766549814
100.0,0.0,-2.089313955096429e-21,quadratic,2.310129700083158e-06,0.9999818630431434,6.47460750329692,6.474607587300658,8.998770648941253,0.10027657252336873,0.9995700665779745,0.009916775820107974,0,-0.9999976896681033,-0.9999976896681033,82.00880815855707,1.8145607348813786,1.0,0.0,1.0,0.0,898.5892263129581,12.775923123232928,81.99009781129092,1.8141465357395496,1.0091353310326496,0.019875263392847627,4000,100,1.0122246190443391,0.009995013033953332
100.0,0.0,2.7464995247525094e-21,quadratic,2.848035868435805e-06,0.9999776399417072,6.474395979851687,6.4743960838646455,8.99855553112476,0.10027387107801794,0.9995431873049421,0.009916509641587763,0,-0.9999971518427156,-0.9999971518427156,82.00929197999389,1.814565583913378,1.0,0.0,1.0,0.0,898.5677222615456,12.775617405458542,81.98622570539239,1.8140549581640961,1.0090815906165065,0.01987419983615344,4000,100,1.0122240586563727,0.009995007328784099
100.0,0.0,8.076728168617497e-21,quadratic,3.5111917342151275e-06,0.9999724335203809,6.474135213158671,6.474135342164115,8.998290337754227,0.10027054083349961,0.9995100512705687,0.009916181507370942,0,-0.9999964888529027,-0.9999964888529027,82.00988842385544,1.8145715616890579,1.0,0.0,1.0,0.0,898.5412124541565,12.775240524355842,81.98145237091757,1.8139420670938966,1.009015342893398,0.01987288875920477,4000,100,1.0122233683964776,0.009995000302503065
100.0,0.0,-1.248069458449238e-20,quadratic,4.328761281083061e-06,0.9999660148243978,6.473813741529428,6.473813902023996,8.997963416139742,0.10026643549217659,0.9994692026425588,0.00991577700328299,0,-0.9999956715890782,-0.9999956715890782,82.01062369632798,1.8145789308572229,1.0,0.0,1.0,0.0,898.5085320405112,12.774775921240945,81.97556815653189,1.8138029049716857,1.0089336786822485,0.01987127259291398,4000,100,1.0122225183427274,0.009994991651296295
100.0,0.0,2.500568598001964e-21,quadratic,5.336699231206313e-06,0.9999581015918129,6.473417436419786,6.473417637300181,8.99756040406284,0.10026137475186342,0.9994188471402331,0.009915278365094817,0,-0.9999946641815327,-0.9999946641815327,82.01153009648796,1.8145880151324052,1.0,0.0,1.0,0.0,898.4682453148305,12.774203187751738,81.96831469653078,1.8136313626015677,1.0088330130216956,0.019869280397290977,4000,100,1.0122214717713292,0.00999498100258294
100.0,0.0,-1.5841656035939331e-21,quadratic,6.579332246575683e-06,0.999948345843279,6.472928884020037,6.472929136879435,8.997063600826353,0.10025513641933562,0.9993567735070984,0.009914663701713388,0,-0.9999934224356818,-0.9999934224356818,82.01264743026613,1.8145992134664395,1.0,0.0,1.0,0.0,898.4185828434066,12.773497172558065,81.95937362097314,1.8134199124022798,1.0087089286545463,0.019866824765660426,4000,100,1.0122201836586813,0.00999496790002827
