Survive,Survive_bar,chi,dynamics,epsilon,lam_min,lam_min_cor,lam_min_ran,mean_N,mean_N_bar,mean_R,mean_R_bar,mu,nu,nu_threshold,opti_f,opti_f_bar,phi_N,phi_N_bar,phi_R,phi_R_bar,power,power_bar,q_N,q_N_bar,q_R,q_R_bar,sample_size,size,var_N,var_R
0.0,0.0,1.0,quadratic,1e-06,0.0,0.0,0.0,0.0,0.0,9.999034621849894,0.10043431539496724,0,0.0,,1.1709572898507035e-17,6.9232357369926714e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070330756,2.015406921651906,4000,100,0.0,1.001697334354708
0.0,0.0,1.0,quadratic,1.232846739442066e-06,0.0,0.0,0.0,0.0,0.0,9.99903462184988,0.10043431539496646,0,0.0,,1.170963126196453e-17,6.92327901897802e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070330727,2.015406921651888,4000,100,0.0,1.0016973343546982
0.0,0.0,1.0,quadratic,1.519911082952933e-06,0.0,0.0,0.0,0.0,0.0,9.999034621849864,0.10043431539496554,0,0.0,,1.1709703783299838e-17,6.923332610630515e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070330695,2.015406921651867,4000,100,0.0,1.0016973343546864
0.0,0.0,1.0,quadratic,1.873817422860383e-06,0.0,0.0,0.0,0.0,0.0,9.999034621849846,0.10043431539496439,0,0.0,,1.1709794034995812e-17,6.923399034219086e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070330658,2.015406921651839,4000,100,0.0,1.0016973343546722
0.0,0.0,1.0,quadratic,2.310129700083158e-06,0.0,0.0,0.0,0.0,0.0,9.99903462184982,0.10043431539496293,0,0.0,,1.170990658661675e-17,6.923481433406151e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070330602,2.015406921651805,4000,100,0.0,1.0016973343546536
0.0,0.0,1.0,quadratic,2.848035868435805e-06,0.0,0.0,0.0,0.0,0.0,9.999034621849793,0.1004343153949612,0,0.0,,1.1710047270399398e-17,6.923583849222059e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070330547,2.015406921651763,4000,100,0.0,1.0016973343546312
0.0,0.0,1.0,quadratic,3.5111917342151275e-06,0.0,0.0,0.0,0.0,0.0,9.999034621849749,0.10043431539495899,0,0.0,,1.171022365329561e-17,6.923711316316541e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070330455,2.015406921651711,4000,100,0.0,1.0016973343546038
0.0,0.0,1.0,quadratic,4.328761281083061e-06,0.0,0.0,0.0,0.0,0.0,9.999034621849702,0.10043431539495623,0,0.0,,1.1710445618955463e-17,6.923870357518008e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.9823907033036,2.0154069216516457,4000,100,0.0,1.0016973343545696
0.0,0.0,1.0,quadratic,5.336699231206313e-06,0.0,0.0,0.0,0.0,0.0,9.99903462184964,0.1004343153949528,0,0.0,,1.1710726090992106e-17,6.924069287693421e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070330231,2.0154069216515644,4000,100,0.0,1.0016973343545266
0.0,0.0,1.0,quadratic,6.579332246575683e-06,0.0,0.0,0.0,0.0,0.0,9.999034621849566,0.1004343153949485,0,0.0,,1.1711082305249783e-17,6.924318892322308e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070330077,2.0154069216514627,4000,100,0.0,1.001697334354474
0.0,0.0,1.0,quadratic,8.111308307896873e-06,0.0,0.0,0.0,0.0,0.0,9.999034621849464,0.10043431539494312,0,0.0,,1.1711537372967996e-17,6.924633330815396e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070329866,2.015406921651335,4000,100,0.0,1.0016973343544069
0.0,0.0,1.0,quadratic,1e-05,0.0,0.0,0.0,0.0,0.0,9.999034621849344,0.10043431539493632,0,0.0,,1.1712122562206884e-17,6.925031094088809e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070329616,2.0154069216511736,4000,100,0.0,1.001697334354324
0.0,0.0,1.0,quadratic,1.2328467394420658e-05,0.0,0.0,0.0,0.0,0.0,9.999034621849178,0.10043431539492775,0,0.0,,1.1712880817441632e-17,6.92553690595114e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070329277,2.01540692165097,4000,100,0.0,1.00169733435422
0.0,0.0,1.0,quadratic,1.5199110829529332e-05,0.0,0.0,0.0,0.0,0.0,9.999034621848965,0.10043431539491682,0,0.0,,1.171387176111001e-17,6.926183983642607e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070328837,2.0154069216507096,4000,100,0.0,1.0016973343540876
0.0,0.0,1.0,quadratic,1.873817422860383e-05,0.0,0.0,0.0,0.0,0.0,9.999034621848692,0.10043431539490284,0,0.0,,1.1715179153104997e-17,6.927017594457543e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070328273,2.0154069216503783,4000,100,0.0,1.0016973343539204
0.0,0.0,1.0,quadratic,2.310129700083158e-05,0.0,0.0,0.0,0.0,0.0,9.999034621848327,0.10043431539488482,0,0.0,,1.1716921804621554e-17,6.928100279173455e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070327523,2.01540692164995,4000,100,0.0,1.0016973343537074
0.0,0.0,1.0,quadratic,2.8480358684358048e-05,0.0,0.0,0.0,0.0,0.0,9.999034621847835,0.10043431539486143,0,0.0,,1.1719270458974429e-17,6.929519381650222e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070326512,2.0154069216493933,4000,100,0.0,1.0016973343534343
0.0,0.0,1.0,quadratic,3.511191734215127e-05,0.0,0.0,0.0,0.0,0.0,9.999034621847175,0.1004343153948308,0,0.0,,1.1722472863142788e-17,6.93139860077252e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070325155,2.0154069216486628,4000,100,0.0,1.0016973343530813
0.0,0.0,1.0,quadratic,4.328761281083062e-05,0.0,0.0,0.0,0.0,0.0,9.99903462184627,0.10043431539479017,0,0.0,,1.1726892239975049e-17,6.933915167588012e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070323302,2.0154069216476937,4000,100,0.0,1.0016973343526216
0.0,0.0,1.0,quadratic,5.3366992312063123e-05,0.0,0.0,0.0,0.0,0.0,9.999034621845016,0.10043431539473582,0,0.0,,1.1733066159841158e-17,6.937326253489824e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070320733,2.0154069216463952,4000,100,0.0,1.0016973343520172
0.0,0.0,1.0,quadratic,6.579332246575683e-05,0.0,0.0,0.0,0.0,0.0,9.999034621843263,0.10043431539466233,0,0.0,,1.1741798618553052e-17,6.942010649967093e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070317146,2.0154069216446344,4000,100,0.0,1.0016973343512139
0.0,0.0,1.0,quadratic,8.111308307896872e-05,0.0,0.0,0.0,0.0,0.0,9.99903462184077,0.10043431539456166,0,0.0,,1.1754302760424871e-17,6.948533191623938e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070312054,2.015406921642217,4000,100,0.0,1.0016973343501352
0.0,0.0,1.0,quadratic,0.0001,0.0,0.0,0.0,0.0,0.0,9.999034621837188,0.10043431539442221,0,0.0,,1.1772431041281352e-17,6.95774864787795e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070304741,2.015406921638854,4000,100,0.0,1.0016973343486686
0.0,0.0,1.0,quadratic,0.0001232846739442066,0.0,0.0,0.0,0.0,0.0,9.999034621831989,0.10043431539422662,0,0.0,,1.1799040292756174e-17,6.970969318407022e-18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.98239070294142,2.0154069216341157,4000,100,0.0,1.0016973343466506
