"ID","Species","Interactions","Connectance","Type of interactions","Type of data","Reference","Locality of Studi","Latitude","Longitude"
"A_HP_001","28","61","0.339","Host-Parasite","1","Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187","Adzharia","42","42.65"
"A_HP_002","42","96","0.222","Host-Parasite","1","Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187","Akmolinsk","51.166667","71.416667"
"A_HP_003","32","108","0.522","Host-Parasite","1","Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187","Altai","49","89"
"A_HP_004","27","52","0.413","Host-Parasite","1","Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187","Amur","50.283333","127.533333"
"A_HP_005","20","51","0.56","Host-Parasite","1","Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187","Amur-Bureya","49.81212","129.81278"
"A_HP_006","53","123","0.208","Host-Parasite","1","Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187","Armenia","40.183529","44.516602"
"A_HP_007","25","43","0.316","Host-Parasite","1","Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187","Central Yakutia","66.4","129.166667"
"A_HP_008","32","37","0.193","Host-Parasite","1","Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187","Chimkent","42.316667","69.595833"
"A_HP_009","36","97","0.315","Host-Parasite","1","Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187","Dzhungarsky Alatau","45","80"
"A_HP_010","49","88","0.158","Host-Parasite","1","Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187","East Balkhash","46.166667","74.333333"
